订单编号,下单时间,pay_time,商品编码,商品名称,品类,quantity,unit_price,total_amount,discount_amount,actual_pay_amount,订单状态,buyer_province,是否新客,优惠券名称
微20250701000806,2025-07-01 13:13:00,,SKU_美_002,美妆商品27,美妆,1,132.86,132.86,10.67,122.19,已取消,广东,False,
微20250701000807,2025-07-01 10:12:00,2025-07-01 10:12:00,SKU_美_001,美妆商品20,美妆,2,133.75,267.5,20.17,247.33,已完成,江苏,False,新人首单立减20
微20250701000808,2025-07-01 21:35:00,2025-07-01 21:35:00,SKU_美_001,美妆商品32,美妆,1,150.15,150.15,14.56,135.59,已完成,山东,False,
微20250701000809,2025-07-01 11:23:00,2025-07-01 11:23:00,SKU_美_001,美妆商品8,美妆,1,122.8,122.8,0.36,122.44,已完成,上海,False,
微20250701000810,2025-07-01 18:54:00,2025-07-01 18:54:00,SKU_美_002,美妆商品31,美妆,3,142.21,426.63,57.22,369.41,已完成,山东,True,新人首单立减20
微20250701000811,2025-07-01 10:56:00,2025-07-01 10:56:00,SKU_美_002,美妆商品34,美妆,1,122.11,122.11,13.55,108.56,已完成,江苏,False,品类优惠券
微20250701000812,2025-07-01 20:57:00,2025-07-01 20:57:00,SKU_美_009,美妆商品18,美妆,2,145.08,290.16,40.68,249.48,已完成,广东,False,品类优惠券
微20250701000813,2025-07-01 08:26:00,,SKU_美_017,美妆商品12,美妆,3,127.56,382.68,55.12,327.56,已取消,四川,False,
微20250701000814,2025-07-01 08:39:00,2025-07-01 08:39:00,SKU_美_009,美妆商品21,美妆,2,146.15,292.3,18.06,274.24,已完成,山东,False,品类优惠券
微20250701000815,2025-07-01 20:21:00,2025-07-01 20:21:00,SKU_美_009,美妆商品15,美妆,1,143.17,143.17,9.28,133.89,已完成,湖北,False,
微20250701000816,2025-07-01 19:41:00,2025-07-01 19:41:00,SKU_美_008,美妆商品31,美妆,2,130.62,261.24,35.69,225.55,已完成,浙江,False,
微20250701000817,2025-07-01 19:11:00,2025-07-01 19:11:00,SKU_美_002,美妆商品21,美妆,2,155.89,311.78,19.51,292.27,已完成,广东,False,满200减30
微20250701000818,2025-07-01 18:19:00,2025-07-01 18:19:00,SKU_美_005,美妆商品2,美妆,3,136.19,408.57,24.56,384.01,已完成,浙江,False,满200减30
微20250701000819,2025-07-01 09:54:00,2025-07-01 09:54:00,SKU_美_002,美妆商品42,美妆,1,124.7,124.7,7.01,117.69,已完成,四川,False,新人首单立减20
微20250701000820,2025-07-01 19:16:00,2025-07-01 19:16:00,SKU_美_006,美妆商品27,美妆,1,120.37,120.37,11.51,108.86,已完成,江苏,True,满200减30
微20250701000821,2025-07-01 18:03:00,2025-07-01 18:03:00,SKU_美_001,美妆商品45,美妆,1,142.98,142.98,20.33,122.65,已完成,浙江,False,满200减30
微20250701000822,2025-07-01 16:47:00,2025-07-01 16:47:00,SKU_美_019,美妆商品36,美妆,1,130.22,130.22,2.11,128.11,已完成,北京,False,
微20250701000823,2025-07-01 18:47:00,,SKU_食_004,食品商品34,食品,1,64.0,64.0,6.42,57.58,已取消,浙江,False,新人首单立减20
微20250701000824,2025-07-01 10:02:00,2025-07-01 10:02:00,SKU_食_014,食品商品30,食品,1,61.03,61.03,4.23,56.8,已完成,山东,False,
微20250701000825,2025-07-01 10:08:00,2025-07-01 10:08:00,SKU_食_003,食品商品48,食品,1,58.65,58.65,5.5,53.15,已完成,北京,False,新人首单立减20
微20250701000826,2025-07-01 19:34:00,2025-07-01 19:34:00,SKU_食_008,食品商品10,食品,1,52.24,52.24,5.56,46.68,已完成,浙江,False,满200减30
微20250701000827,2025-07-01 08:40:00,2025-07-01 08:40:00,SKU_食_010,食品商品19,食品,1,72.61,72.61,4.67,67.94,已完成,江苏,False,
微20250701000828,2025-07-01 16:54:00,2025-07-01 16:54:00,SKU_食_005,食品商品9,食品,3,61.31,183.93,23.27,160.66,已完成,上海,False,
微20250701000829,2025-07-01 08:50:00,,SKU_食_003,食品商品32,食品,3,61.7,185.1,25.8,159.3,已取消,浙江,False,
微20250701000830,2025-07-01 10:28:00,,SKU_食_008,食品商品25,食品,1,53.63,53.63,7.23,46.4,已取消,北京,False,
微20250701000831,2025-07-01 21:08:00,2025-07-01 21:08:00,SKU_食_016,食品商品43,食品,1,53.63,53.63,6.43,47.2,已完成,广东,False,品类优惠券
微20250701000832,2025-07-01 17:12:00,,SKU_食_010,食品商品28,食品,1,51.0,51.0,3.05,47.95,已取消,北京,False,品类优惠券
微20250701000833,2025-07-01 18:45:00,2025-07-01 18:45:00,SKU_食_011,食品商品19,食品,1,60.95,60.95,6.06,54.89,已完成,山东,False,
微20250701000834,2025-07-01 10:24:00,2025-07-01 10:24:00,SKU_食_016,食品商品9,食品,2,46.59,93.18,10.34,82.84,已完成,江苏,False,满200减30
微20250701000835,2025-07-01 10:08:00,2025-07-01 10:08:00,SKU_食_012,食品商品47,食品,3,47.32,141.96,20.65,121.31,待发货,山东,False,品类优惠券
微20250701000836,2025-07-01 19:10:00,2025-07-01 19:10:00,SKU_食_014,食品商品45,食品,3,61.03,183.09,25.02,158.07,已完成,江苏,False,
微20250701000837,2025-07-01 19:36:00,2025-07-01 19:36:00,SKU_食_017,食品商品21,食品,3,64.36,193.08,18.36,174.72,已完成,湖北,False,
微20250701000838,2025-07-01 10:07:00,2025-07-01 10:07:00,SKU_食_009,食品商品23,食品,1,52.82,52.82,1.34,51.48,已完成,北京,True,新人首单立减20
微20250701000839,2025-07-01 13:24:00,2025-07-01 13:24:00,SKU_食_016,食品商品48,食品,1,52.38,52.38,3.32,49.06,已完成,江苏,False,
微20250701000840,2025-07-01 19:54:00,2025-07-01 19:54:00,SKU_食_018,食品商品11,食品,3,52.78,158.34,2.0,156.34,已完成,湖北,False,
微20250701000841,2025-07-01 13:21:00,2025-07-01 13:21:00,SKU_食_005,食品商品32,食品,1,59.12,59.12,2.35,56.77,待发货,上海,False,
微20250701000842,2025-07-01 12:16:00,2025-07-01 12:16:00,SKU_食_018,食品商品32,食品,2,55.87,111.74,13.8,97.94,已完成,上海,False,新人首单立减20
微20250701000843,2025-07-01 19:33:00,2025-07-01 19:33:00,SKU_食_010,食品商品6,食品,2,53.85,107.7,12.74,94.96,已完成,北京,False,
微20250701000844,2025-07-01 08:54:00,2025-07-01 08:54:00,SKU_食_009,食品商品22,食品,3,56.79,170.37,1.19,169.18,待发货,四川,False,
微20250701000845,2025-07-01 16:35:00,2025-07-01 16:35:00,SKU_食_014,食品商品18,食品,2,59.52,119.04,0.16,118.88,待发货,广东,False,新人首单立减20
微20250701000846,2025-07-01 11:19:00,2025-07-01 11:19:00,SKU_食_015,食品商品1,食品,2,59.69,119.38,7.89,111.49,待发货,四川,False,品类优惠券
微20250701000847,2025-07-01 11:30:00,2025-07-01 11:30:00,SKU_食_014,食品商品35,食品,3,50.61,151.83,20.44,131.39,待发货,北京,False,新人首单立减20
微20250701000848,2025-07-01 13:13:00,2025-07-01 13:13:00,SKU_食_009,食品商品46,食品,3,61.14,183.42,22.11,161.31,已完成,山东,False,
微20250701000849,2025-07-01 21:28:00,,SKU_食_007,食品商品9,食品,1,60.03,60.03,1.97,58.06,已取消,江苏,False,
微20250701000850,2025-07-01 17:09:00,2025-07-01 17:09:00,SKU_食_014,食品商品23,食品,2,54.88,109.76,4.86,104.9,已完成,广东,False,
微20250701000851,2025-07-01 09:56:00,2025-07-01 09:56:00,SKU_食_001,食品商品21,食品,2,59.56,119.12,0.04,119.08,已完成,山东,False,
微20250701000852,2025-07-01 22:33:00,2025-07-01 22:33:00,SKU_食_010,食品商品30,食品,2,54.1,108.2,10.24,97.96,已完成,江苏,False,新人首单立减20
微20250701000853,2025-07-01 10:17:00,2025-07-01 10:17:00,SKU_食_012,食品商品41,食品,2,54.72,109.44,7.17,102.27,已完成,山东,False,品类优惠券
微20250701000854,2025-07-01 10:32:00,2025-07-01 10:32:00,SKU_食_006,食品商品18,食品,2,60.07,120.14,10.81,109.33,已完成,上海,False,品类优惠券
微20250701000855,2025-07-01 22:21:00,2025-07-01 22:21:00,SKU_食_017,食品商品38,食品,2,55.6,111.2,0.53,110.67,已完成,山东,False,品类优惠券
微20250701000856,2025-07-01 16:34:00,2025-07-01 16:34:00,SKU_食_018,食品商品47,食品,2,61.49,122.98,17.11,105.87,已完成,江苏,False,品类优惠券
微20250701000857,2025-07-01 11:33:00,2025-07-01 11:33:00,SKU_食_005,食品商品34,食品,1,53.84,53.84,3.9,49.94,已完成,山东,False,
微20250701000858,2025-07-01 10:45:00,2025-07-01 10:45:00,SKU_食_007,食品商品47,食品,1,50.16,50.16,2.13,48.03,已完成,江苏,True,
微20250701000859,2025-07-01 12:04:00,2025-07-01 12:04:00,SKU_电_016,电子商品23,电子,1,341.44,341.44,35.13,306.31,已完成,广东,False,
微20250701000860,2025-07-01 21:37:00,2025-07-01 21:37:00,SKU_电_008,电子商品15,电子,3,285.76,857.28,27.42,829.86,已完成,广东,False,新人首单立减20
微20250701000861,2025-07-01 17:29:00,2025-07-01 17:29:00,SKU_电_015,电子商品18,电子,2,286.65,573.3,5.35,567.95,已完成,江苏,False,
微20250701000862,2025-07-01 15:09:00,2025-07-01 15:09:00,SKU_电_011,电子商品33,电子,2,280.74,561.48,84.13,477.35,已完成,北京,False,
微20250701000863,2025-07-01 21:57:00,2025-07-01 21:57:00,SKU_电_006,电子商品1,电子,3,382.15,1146.45,165.95,980.5,已完成,浙江,False,新人首单立减20
微20250701000864,2025-07-01 08:06:00,2025-07-01 08:06:00,SKU_电_007,电子商品42,电子,1,328.8,328.8,31.18,297.62,待发货,浙江,False,品类优惠券
微20250701000865,2025-07-01 13:58:00,2025-07-01 13:58:00,SKU_电_014,电子商品45,电子,2,324.41,648.82,78.08,570.74,已完成,湖北,False,满200减30
微20250701000866,2025-07-01 22:57:00,,SKU_电_009,电子商品22,电子,1,284.23,284.23,22.7,261.53,已取消,四川,False,新人首单立减20
微20250701000867,2025-07-01 21:56:00,2025-07-01 21:56:00,SKU_电_008,电子商品32,电子,1,331.72,331.72,23.24,308.48,已完成,四川,False,
微20250701000868,2025-07-01 13:37:00,,SKU_服_002,服装商品34,服装,1,151.72,151.72,7.87,143.85,已取消,上海,False,
微20250701000869,2025-07-01 21:01:00,2025-07-01 21:01:00,SKU_服_014,服装商品3,服装,2,160.65,321.3,30.34,290.96,待发货,浙江,False,
微20250701000870,2025-07-01 19:37:00,2025-07-01 19:37:00,SKU_服_003,服装商品3,服装,2,181.46,362.92,19.5,343.42,已完成,上海,False,
微20250701000871,2025-07-01 22:42:00,2025-07-01 22:42:00,SKU_服_009,服装商品35,服装,2,176.68,353.36,27.3,326.06,已完成,浙江,False,
微20250701000872,2025-07-01 15:38:00,2025-07-01 15:38:00,SKU_服_019,服装商品26,服装,2,162.14,324.28,45.18,279.1,已完成,北京,False,满200减30
微20250701000873,2025-07-01 11:11:00,2025-07-01 11:11:00,SKU_服_017,服装商品21,服装,1,166.36,166.36,18.94,147.42,已完成,江苏,False,
微20250701000874,2025-07-01 18:14:00,2025-07-01 18:14:00,SKU_服_013,服装商品47,服装,2,174.2,348.4,32.87,315.53,已完成,浙江,False,新人首单立减20
微20250701000875,2025-07-01 16:43:00,2025-07-01 16:43:00,SKU_服_010,服装商品31,服装,1,161.93,161.93,7.09,154.84,已完成,浙江,False,
微20250701000876,2025-07-01 18:35:00,2025-07-01 18:35:00,SKU_服_002,服装商品6,服装,1,172.35,172.35,20.74,151.61,已完成,江苏,False,
微20250701000877,2025-07-01 13:17:00,2025-07-01 13:17:00,SKU_服_008,服装商品7,服装,3,160.91,482.73,39.77,442.96,已完成,浙江,False,
微20250701000878,2025-07-01 15:28:00,,SKU_服_016,服装商品25,服装,1,171.03,171.03,7.88,163.15,已取消,江苏,False,
微20250701000879,2025-07-01 16:25:00,2025-07-01 16:25:00,SKU_服_012,服装商品26,服装,2,151.57,303.14,31.75,271.39,待发货,湖北,False,新人首单立减20
微20250701000880,2025-07-01 14:01:00,2025-07-01 14:01:00,SKU_服_003,服装商品6,服装,2,165.85,331.7,24.42,307.28,已完成,上海,False,品类优惠券
微20250701000881,2025-07-01 14:32:00,2025-07-01 14:32:00,SKU_服_019,服装商品26,服装,2,180.23,360.46,51.39,309.07,已完成,广东,False,新人首单立减20
微20250701000882,2025-07-01 15:55:00,2025-07-01 15:55:00,SKU_服_013,服装商品1,服装,2,172.86,345.72,44.03,301.69,已完成,湖北,False,
微20250701000883,2025-07-01 10:06:00,2025-07-01 10:06:00,SKU_服_003,服装商品11,服装,1,185.51,185.51,4.7,180.81,已完成,四川,False,
微20250701000884,2025-07-01 18:11:00,2025-07-01 18:11:00,SKU_服_008,服装商品44,服装,2,164.88,329.76,2.86,326.9,待发货,广东,False,新人首单立减20
微20250701000885,2025-07-01 10:13:00,,SKU_服_003,服装商品6,服装,3,183.13,549.39,52.58,496.81,已取消,北京,False,满200减30
微20250702001621,2025-07-02 15:02:00,2025-07-02 15:02:00,SKU_美_019,美妆商品41,美妆,1,127.71,127.71,0.56,127.15,已完成,江苏,False,满200减30
微20250702001622,2025-07-02 09:22:00,2025-07-02 09:22:00,SKU_美_009,美妆商品4,美妆,3,125.47,376.41,34.94,341.47,已完成,江苏,False,品类优惠券
微20250702001623,2025-07-02 21:22:00,2025-07-02 21:22:00,SKU_美_001,美妆商品1,美妆,2,119.89,239.78,23.2,216.58,待发货,广东,False,
微20250702001624,2025-07-02 20:25:00,2025-07-02 20:25:00,SKU_美_008,美妆商品40,美妆,2,135.66,271.32,9.45,261.87,已完成,四川,False,满200减30
微20250702001625,2025-07-02 14:54:00,2025-07-02 14:54:00,SKU_美_006,美妆商品7,美妆,1,121.19,121.19,17.57,103.62,已完成,四川,False,
微20250702001626,2025-07-02 15:18:00,2025-07-02 15:18:00,SKU_美_007,美妆商品46,美妆,1,136.65,136.65,2.56,134.09,已完成,北京,False,
微20250702001627,2025-07-02 11:04:00,2025-07-02 11:04:00,SKU_美_014,美妆商品41,美妆,1,142.76,142.76,16.52,126.24,已完成,湖北,False,品类优惠券
微20250702001628,2025-07-02 08:57:00,2025-07-02 08:57:00,SKU_美_014,美妆商品3,美妆,2,129.11,258.22,13.32,244.9,已完成,广东,False,满200减30
微20250702001629,2025-07-02 20:26:00,2025-07-02 20:26:00,SKU_美_012,美妆商品15,美妆,2,126.62,253.24,36.3,216.94,待发货,四川,False,
微20250702001630,2025-07-02 11:44:00,2025-07-02 11:44:00,SKU_美_001,美妆商品30,美妆,1,132.92,132.92,3.93,128.99,已完成,北京,False,
微20250702001631,2025-07-02 10:43:00,2025-07-02 10:43:00,SKU_美_018,美妆商品9,美妆,1,140.17,140.17,18.94,121.23,已完成,上海,False,
微20250702001632,2025-07-02 19:39:00,2025-07-02 19:39:00,SKU_美_006,美妆商品18,美妆,2,134.95,269.9,29.97,239.93,已完成,湖北,False,品类优惠券
微20250702001633,2025-07-02 11:09:00,2025-07-02 11:09:00,SKU_美_010,美妆商品40,美妆,1,132.74,132.74,0.85,131.89,已完成,广东,False,
微20250702001634,2025-07-02 11:17:00,2025-07-02 11:17:00,SKU_美_005,美妆商品33,美妆,2,152.71,305.42,17.02,288.4,已完成,广东,False,
微20250702001635,2025-07-02 21:38:00,2025-07-02 21:38:00,SKU_美_008,美妆商品24,美妆,1,130.33,130.33,5.15,125.18,已完成,山东,False,
微20250702001636,2025-07-02 16:38:00,2025-07-02 16:38:00,SKU_美_004,美妆商品46,美妆,1,133.26,133.26,2.12,131.14,已完成,山东,False,
微20250702001637,2025-07-02 17:55:00,2025-07-02 17:55:00,SKU_美_013,美妆商品43,美妆,1,139.04,139.04,9.65,129.39,已完成,北京,False,新人首单立减20
微20250702001638,2025-07-02 17:52:00,,SKU_美_003,美妆商品41,美妆,2,138.81,277.62,15.24,262.38,已取消,江苏,False,
微20250702001639,2025-07-02 21:53:00,2025-07-02 21:53:00,SKU_美_008,美妆商品30,美妆,1,129.08,129.08,18.52,110.56,已完成,江苏,True,新人首单立减20
微20250702001640,2025-07-02 21:43:00,2025-07-02 21:43:00,SKU_美_013,美妆商品38,美妆,3,147.25,441.75,52.54,389.21,待发货,湖北,False,
微20250702001641,2025-07-02 12:38:00,2025-07-02 12:38:00,SKU_美_005,美妆商品40,美妆,1,131.65,131.65,8.3,123.35,待发货,北京,False,
微20250702001642,2025-07-02 19:20:00,2025-07-02 19:20:00,SKU_美_005,美妆商品23,美妆,1,143.72,143.72,12.35,131.37,已完成,湖北,False,
微20250702001643,2025-07-02 08:10:00,2025-07-02 08:10:00,SKU_美_001,美妆商品31,美妆,1,149.38,149.38,6.78,142.6,已完成,北京,False,
微20250702001644,2025-07-02 22:08:00,2025-07-02 22:08:00,SKU_美_002,美妆商品44,美妆,2,119.3,238.6,22.95,215.65,已完成,江苏,False,
微20250702001645,2025-07-02 09:00:00,2025-07-02 09:00:00,SKU_美_009,美妆商品20,美妆,2,123.5,247.0,5.05,241.95,待发货,四川,False,
微20250702001646,2025-07-02 13:19:00,2025-07-02 13:19:00,SKU_美_011,美妆商品9,美妆,1,151.93,151.93,7.83,144.1,已完成,湖北,False,
微20250702001647,2025-07-02 09:42:00,2025-07-02 09:42:00,SKU_美_001,美妆商品14,美妆,2,155.8,311.6,14.23,297.37,已完成,广东,False,
微20250702001648,2025-07-02 10:50:00,2025-07-02 10:50:00,SKU_美_019,美妆商品3,美妆,2,139.45,278.9,31.36,247.54,已完成,江苏,True,
微20250702001649,2025-07-02 15:16:00,2025-07-02 15:16:00,SKU_美_005,美妆商品5,美妆,1,134.49,134.49,12.59,121.9,已完成,广东,False,满200减30
微20250702001650,2025-07-02 13:40:00,2025-07-02 13:40:00,SKU_美_017,美妆商品44,美妆,3,121.02,363.06,35.55,327.51,已完成,四川,False,品类优惠券
微20250702001651,2025-07-02 19:56:00,2025-07-02 19:56:00,SKU_美_009,美妆商品9,美妆,1,130.35,130.35,1.3,129.05,已完成,广东,False,
微20250702001652,2025-07-02 14:25:00,,SKU_美_011,美妆商品9,美妆,2,153.05,306.1,23.54,282.56,已取消,湖北,False,
微20250702001653,2025-07-02 11:00:00,2025-07-02 11:00:00,SKU_美_006,美妆商品38,美妆,1,126.97,126.97,10.85,116.12,已完成,江苏,False,新人首单立减20
微20250702001654,2025-07-02 15:49:00,,SKU_美_014,美妆商品36,美妆,2,145.06,290.12,27.22,262.9,已取消,江苏,False,品类优惠券
微20250702001655,2025-07-02 19:00:00,2025-07-02 19:00:00,SKU_食_001,食品商品10,食品,1,65.61,65.61,4.98,60.63,已完成,山东,False,满200减30
微20250702001656,2025-07-02 11:26:00,2025-07-02 11:26:00,SKU_食_001,食品商品21,食品,1,54.74,54.74,3.05,51.69,待发货,浙江,False,
微20250702001657,2025-07-02 08:19:00,2025-07-02 08:19:00,SKU_食_019,食品商品27,食品,1,64.49,64.49,0.65,63.84,已完成,湖北,False,品类优惠券
微20250702001658,2025-07-02 11:02:00,2025-07-02 11:02:00,SKU_食_002,食品商品5,食品,2,64.59,129.18,3.54,125.64,已完成,浙江,True,新人首单立减20
微20250702001659,2025-07-02 13:24:00,2025-07-02 13:24:00,SKU_食_017,食品商品33,食品,1,58.88,58.88,3.3,55.58,已完成,北京,True,
微20250702001660,2025-07-02 18:42:00,2025-07-02 18:42:00,SKU_食_011,食品商品12,食品,1,58.36,58.36,5.42,52.94,已完成,北京,True,
微20250702001661,2025-07-02 22:31:00,2025-07-02 22:31:00,SKU_食_011,食品商品13,食品,2,50.69,101.38,8.6,92.78,已完成,四川,False,
微20250702001662,2025-07-02 17:17:00,2025-07-02 17:17:00,SKU_食_019,食品商品7,食品,2,56.63,113.26,13.14,100.12,已完成,湖北,False,新人首单立减20
微20250702001663,2025-07-02 09:26:00,2025-07-02 09:26:00,SKU_食_015,食品商品36,食品,2,58.64,117.28,11.37,105.91,已完成,山东,False,
微20250702001664,2025-07-02 14:08:00,,SKU_食_015,食品商品40,食品,1,52.43,52.43,6.15,46.28,已取消,广东,False,
微20250702001665,2025-07-02 20:13:00,2025-07-02 20:13:00,SKU_食_015,食品商品47,食品,3,67.48,202.44,5.86,196.58,已完成,山东,False,满200减30
微20250702001666,2025-07-02 12:36:00,,SKU_食_015,食品商品33,食品,1,53.35,53.35,7.76,45.59,已取消,广东,False,新人首单立减20
微20250702001667,2025-07-02 15:11:00,2025-07-02 15:11:00,SKU_食_002,食品商品8,食品,1,52.93,52.93,5.9,47.03,已完成,上海,False,
微20250702001668,2025-07-02 18:58:00,2025-07-02 18:58:00,SKU_食_019,食品商品21,食品,1,62.57,62.57,9.26,53.31,已完成,江苏,True,品类优惠券
微20250702001669,2025-07-02 10:58:00,2025-07-02 10:58:00,SKU_食_002,食品商品5,食品,1,51.16,51.16,6.01,45.15,已完成,北京,False,新人首单立减20
微20250702001670,2025-07-02 19:53:00,2025-07-02 19:53:00,SKU_食_008,食品商品43,食品,2,60.15,120.3,12.95,107.35,已完成,四川,True,新人首单立减20
微20250702001671,2025-07-02 08:53:00,,SKU_食_018,食品商品27,食品,2,57.93,115.86,10.06,105.8,已取消,湖北,False,新人首单立减20
微20250702001672,2025-07-02 10:46:00,2025-07-02 10:46:00,SKU_食_001,食品商品26,食品,3,67.1,201.3,5.33,195.97,待发货,山东,False,新人首单立减20
微20250702001673,2025-07-02 14:46:00,2025-07-02 14:46:00,SKU_食_005,食品商品17,食品,1,49.95,49.95,3.68,46.27,已完成,广东,False,满200减30
微20250702001674,2025-07-02 20:23:00,2025-07-02 20:23:00,SKU_食_007,食品商品20,食品,2,49.27,98.54,10.97,87.57,已完成,江苏,False,
微20250702001675,2025-07-02 11:28:00,,SKU_食_016,食品商品31,食品,1,57.78,57.78,0.17,57.61,已取消,山东,False,
微20250702001676,2025-07-02 11:38:00,,SKU_食_017,食品商品8,食品,1,66.8,66.8,6.78,60.02,已取消,广东,False,
微20250702001677,2025-07-02 20:34:00,2025-07-02 20:34:00,SKU_食_012,食品商品47,食品,1,58.42,58.42,4.79,53.63,已完成,山东,False,
微20250702001678,2025-07-02 15:04:00,2025-07-02 15:04:00,SKU_食_003,食品商品36,食品,3,69.18,207.54,30.9,176.64,待发货,上海,True,新人首单立减20
微20250702001679,2025-07-02 21:17:00,2025-07-02 21:17:00,SKU_食_016,食品商品14,食品,1,66.83,66.83,7.9,58.93,已完成,江苏,False,
微20250702001680,2025-07-02 19:48:00,2025-07-02 19:48:00,SKU_食_018,食品商品11,食品,1,62.69,62.69,4.28,58.41,待发货,四川,False,
微20250702001681,2025-07-02 09:47:00,2025-07-02 09:47:00,SKU_食_005,食品商品31,食品,3,56.45,169.35,15.02,154.33,已完成,北京,False,
微20250702001682,2025-07-02 10:24:00,2025-07-02 10:24:00,SKU_食_015,食品商品48,食品,3,57.47,172.41,24.5,147.91,已完成,广东,False,
微20250702001683,2025-07-02 08:13:00,,SKU_食_003,食品商品48,食品,1,52.7,52.7,3.3,49.4,已取消,山东,False,品类优惠券
微20250702001684,2025-07-02 09:11:00,2025-07-02 09:11:00,SKU_食_007,食品商品17,食品,1,64.45,64.45,5.35,59.1,已完成,浙江,False,满200减30
微20250702001685,2025-07-02 16:20:00,2025-07-02 16:20:00,SKU_食_013,食品商品9,食品,1,58.97,58.97,1.64,57.33,已完成,江苏,False,
微20250702001686,2025-07-02 13:01:00,,SKU_食_012,食品商品48,食品,3,57.92,173.76,19.3,154.46,已取消,湖北,False,
微20250702001687,2025-07-02 09:20:00,2025-07-02 09:20:00,SKU_食_016,食品商品3,食品,3,64.3,192.9,5.65,187.25,待发货,四川,False,新人首单立减20
微20250702001688,2025-07-02 10:55:00,2025-07-02 10:55:00,SKU_电_015,电子商品36,电子,1,387.44,387.44,32.18,355.26,已完成,湖北,False,
微20250702001689,2025-07-02 11:24:00,2025-07-02 11:24:00,SKU_电_013,电子商品10,电子,1,324.96,324.96,25.01,299.95,待发货,山东,True,满200减30
微20250702001690,2025-07-02 21:19:00,2025-07-02 21:19:00,SKU_电_007,电子商品20,电子,1,285.15,285.15,7.09,278.06,已完成,浙江,False,
