退款单号,订单编号,申请时间,商品编码,商品名称,品类,refund_type,退款原因,退款金额,退款状态
RF20250703000341,京20250703383198,2025-07-03 11:27:00,SKU_食_003,食品商品19,食品,退货退款,质量问题,35.67,已完成
RF20250703000342,京20250703929829,2025-07-03 21:13:00,SKU_食_007,食品商品12,食品,退货退款,质量问题,67.4,已完成
RF20250703000343,京20250703271491,2025-07-03 09:12:00,SKU_食_006,食品商品1,食品,仅退款,不想要了,49.49,已完成
RF20250703000344,京20250703509030,2025-07-03 20:09:00,SKU_食_008,食品商品13,食品,退货退款,物流太慢,53.81,已完成
RF20250703000345,京20250703427508,2025-07-03 20:20:00,SKU_食_006,食品商品4,食品,仅退款,物流太慢,44.92,处理中
RF20250703000346,京20250703840147,2025-07-03 11:08:00,SKU_食_008,食品商品4,食品,退货退款,质量问题,51.38,已完成
RF20250703000347,京20250703081583,2025-07-03 18:45:00,SKU_食_004,食品商品3,食品,仅退款,不想要了,43.48,已完成
RF20250703000348,京20250703698151,2025-07-03 09:08:00,SKU_食_002,食品商品12,食品,仅退款,质量问题,55.52,已完成
RF20250703000349,京20250703056654,2025-07-03 13:47:00,SKU_食_009,食品商品5,食品,仅退款,与描述不符,47.03,已拒绝
RF20250703000350,京20250703697752,2025-07-03 11:33:00,SKU_食_008,食品商品7,食品,仅退款,质量问题,53.15,已完成
RF20250703000351,京20250703857674,2025-07-03 10:48:00,SKU_食_001,食品商品8,食品,仅退款,与描述不符,62.76,已完成
RF20250703000352,京20250703735247,2025-07-03 18:08:00,SKU_电_007,电子商品17,电子,仅退款,与描述不符,497.35,已拒绝
RF20250703000353,京20250703990125,2025-07-03 12:13:00,SKU_电_004,电子商品8,电子,退货退款,不想要了,335.74,已完成
RF20250703000354,京20250703967132,2025-07-03 21:14:00,SKU_电_002,电子商品3,电子,退货退款,质量问题,372.08,已拒绝
RF20250703000355,京20250703304537,2025-07-03 14:04:00,SKU_电_008,电子商品2,电子,仅退款,与描述不符,419.69,已完成
RF20250703000356,京20250703362428,2025-07-03 17:33:00,SKU_电_006,电子商品15,电子,退货退款,不想要了,482.23,已完成
RF20250703000357,京20250703546785,2025-07-03 08:52:00,SKU_电_002,电子商品6,电子,退货退款,质量问题,513.92,已拒绝
RF20250703000358,京20250703863615,2025-07-03 11:42:00,SKU_电_001,电子商品18,电子,仅退款,物流太慢,338.08,已完成
RF20250703000359,京20250703926330,2025-07-03 09:29:00,SKU_电_006,电子商品6,电子,退货退款,尺码不合适,499.67,已完成
RF20250703000360,京20250703484581,2025-07-03 13:54:00,SKU_电_006,电子商品7,电子,仅退款,尺码不合适,472.44,已完成
RF20250703000361,京20250703795686,2025-07-03 11:56:00,SKU_电_004,电子商品9,电子,退货退款,质量问题,451.21,已完成
RF20250703000362,京20250703755832,2025-07-03 10:28:00,SKU_电_005,电子商品10,电子,退货退款,质量问题,455.27,已完成
RF20250703000363,京20250703680075,2025-07-03 17:53:00,SKU_电_004,电子商品18,电子,退货退款,质量问题,462.26,已完成
RF20250703000364,京20250703473154,2025-07-03 10:28:00,SKU_电_007,电子商品14,电子,仅退款,尺码不合适,417.74,已完成
RF20250703000365,京20250703509688,2025-07-03 09:41:00,SKU_电_007,电子商品12,电子,退货退款,质量问题,437.22,已完成
RF20250703000366,京20250703974120,2025-07-03 11:52:00,SKU_服_006,服装商品7,服装,仅退款,物流太慢,227.52,处理中
RF20250703000367,京20250703055728,2025-07-03 16:40:00,SKU_服_002,服装商品19,服装,退货退款,不想要了,224.62,已拒绝
RF20250703000368,京20250703956846,2025-07-03 21:21:00,SKU_服_007,服装商品15,服装,仅退款,质量问题,173.71,处理中
RF20250703000369,京20250703631603,2025-07-03 14:34:00,SKU_服_001,服装商品8,服装,仅退款,不想要了,229.02,已完成
RF20250704000474,京20250704488636,2025-07-04 16:31:00,SKU_美_006,美妆商品2,美妆,仅退款,尺码不合适,158.05,已拒绝
RF20250704000475,京20250704628489,2025-07-04 16:41:00,SKU_美_009,美妆商品17,美妆,仅退款,不想要了,147.16,已完成
RF20250704000476,京20250704093048,2025-07-04 16:06:00,SKU_美_005,美妆商品3,美妆,退货退款,与描述不符,158.03,已完成
RF20250704000477,京20250704651078,2025-07-04 21:38:00,SKU_美_007,美妆商品10,美妆,仅退款,与描述不符,179.8,已拒绝
RF20250704000478,京20250704246053,2025-07-04 16:00:00,SKU_美_005,美妆商品14,美妆,退货退款,不想要了,160.5,已完成
RF20250704000479,京20250704455516,2025-07-04 11:05:00,SKU_美_009,美妆商品13,美妆,退货退款,尺码不合适,218.32,处理中
RF20250704000480,京20250704777210,2025-07-04 12:23:00,SKU_美_004,美妆商品13,美妆,仅退款,不想要了,154.9,已完成
RF20250704000481,京20250704778334,2025-07-04 18:58:00,SKU_食_001,食品商品9,食品,退货退款,质量问题,55.18,已完成
RF20250704000482,京20250704252009,2025-07-04 20:43:00,SKU_食_004,食品商品16,食品,仅退款,尺码不合适,55.37,已完成
RF20250704000483,京20250704918984,2025-07-04 19:34:00,SKU_食_007,食品商品7,食品,仅退款,尺码不合适,54.91,已完成
RF20250704000484,京20250704867072,2025-07-04 08:24:00,SKU_食_006,食品商品3,食品,退货退款,质量问题,46.52,已完成
RF20250704000485,京20250704374658,2025-07-04 15:14:00,SKU_食_005,食品商品11,食品,退货退款,质量问题,59.5,已完成
RF20250704000486,京20250704447778,2025-07-04 09:57:00,SKU_食_007,食品商品15,食品,仅退款,物流太慢,46.35,已完成
RF20250704000487,京20250704897114,2025-07-04 14:18:00,SKU_电_008,电子商品6,电子,退货退款,质量问题,330.85,处理中
RF20250704000488,京20250704193700,2025-07-04 10:46:00,SKU_电_002,电子商品6,电子,退货退款,与描述不符,482.12,处理中
RF20250704000489,京20250704678122,2025-07-04 09:06:00,SKU_电_004,电子商品5,电子,退货退款,不想要了,361.68,已完成
RF20250704000490,京20250704585062,2025-07-04 15:42:00,SKU_电_001,电子商品4,电子,仅退款,质量问题,436.15,已拒绝
RF20250704000491,京20250704631593,2025-07-04 21:29:00,SKU_电_004,电子商品9,电子,仅退款,质量问题,417.44,已完成
RF20250704000492,京20250704040712,2025-07-04 13:50:00,SKU_电_006,电子商品16,电子,仅退款,与描述不符,503.36,已完成
RF20250704000493,京20250704408856,2025-07-04 21:00:00,SKU_电_003,电子商品7,电子,仅退款,物流太慢,397.56,已拒绝
RF20250704000494,京20250704940973,2025-07-04 11:22:00,SKU_电_005,电子商品5,电子,退货退款,质量问题,395.94,已完成
RF20250704000495,京20250704567963,2025-07-04 09:30:00,SKU_电_005,电子商品7,电子,仅退款,物流太慢,377.46,已完成
RF20250704000496,京20250704846505,2025-07-04 15:52:00,SKU_电_007,电子商品2,电子,仅退款,尺码不合适,510.43,处理中
RF20250704000497,京20250704993007,2025-07-04 11:37:00,SKU_服_006,服装商品17,服装,仅退款,物流太慢,199.64,已完成
RF20250704000498,京20250704609677,2025-07-04 19:44:00,SKU_服_001,服装商品2,服装,仅退款,不想要了,189.64,已完成
RF20250704000499,京20250704126891,2025-07-04 19:08:00,SKU_服_004,服装商品3,服装,仅退款,质量问题,192.8,处理中
RF20250704000500,京20250704666118,2025-07-04 13:23:00,SKU_服_009,服装商品4,服装,退货退款,物流太慢,192.7,处理中
RF20250705000600,京20250705485546,2025-07-05 12:34:00,SKU_美_003,美妆商品5,美妆,退货退款,尺码不合适,132.32,已完成
RF20250705000601,京20250705968015,2025-07-05 20:24:00,SKU_美_003,美妆商品17,美妆,退货退款,尺码不合适,133.25,已拒绝
RF20250705000602,京20250705687516,2025-07-05 16:54:00,SKU_美_009,美妆商品1,美妆,仅退款,尺码不合适,171.04,已完成
RF20250705000603,京20250705190576,2025-07-05 14:35:00,SKU_美_006,美妆商品10,美妆,仅退款,物流太慢,108.6,已完成
RF20250705000604,京20250705930465,2025-07-05 18:10:00,SKU_美_007,美妆商品9,美妆,仅退款,质量问题,148.9,已完成
RF20250705000605,京20250705242861,2025-07-05 09:00:00,SKU_美_009,美妆商品2,美妆,仅退款,物流太慢,158.44,处理中
RF20250705000606,京20250705467854,2025-07-05 13:07:00,SKU_美_009,美妆商品11,美妆,仅退款,不想要了,141.86,已完成
RF20250705000607,京20250705127337,2025-07-05 15:29:00,SKU_美_005,美妆商品3,美妆,退货退款,物流太慢,122.46,处理中
RF20250705000608,京20250705813281,2025-07-05 15:58:00,SKU_食_007,食品商品5,食品,退货退款,不想要了,49.87,已完成
RF20250705000609,京20250705429780,2025-07-05 18:38:00,SKU_食_004,食品商品12,食品,退货退款,物流太慢,53.72,已完成
RF20250705000610,京20250705562428,2025-07-05 17:10:00,SKU_食_002,食品商品17,食品,退货退款,物流太慢,39.13,已完成
RF20250705000611,京20250705193078,2025-07-05 21:05:00,SKU_食_007,食品商品6,食品,退货退款,不想要了,39.38,已完成
RF20250705000612,京20250705659130,2025-07-05 13:17:00,SKU_食_006,食品商品1,食品,仅退款,质量问题,43.35,处理中
RF20250705000613,京20250705211770,2025-07-05 16:26:00,SKU_食_006,食品商品10,食品,仅退款,物流太慢,65.64,已完成
RF20250705000614,京20250705039815,2025-07-05 09:19:00,SKU_食_007,食品商品7,食品,仅退款,与描述不符,51.32,已完成
RF20250705000615,京20250705416898,2025-07-05 09:41:00,SKU_食_002,食品商品10,食品,退货退款,与描述不符,52.54,处理中
RF20250705000616,京20250705264812,2025-07-05 09:16:00,SKU_食_009,食品商品16,食品,退货退款,与描述不符,54.62,已完成
RF20250705000617,京20250705102135,2025-07-05 14:45:00,SKU_食_003,食品商品19,食品,退货退款,与描述不符,46.56,已拒绝
RF20250705000618,京20250705103626,2025-07-05 21:05:00,SKU_食_001,食品商品18,食品,退货退款,尺码不合适,51.31,已完成
RF20250705000619,京20250705013254,2025-07-05 19:02:00,SKU_食_001,食品商品11,食品,仅退款,质量问题,49.86,已完成
RF20250705000620,京20250705122713,2025-07-05 13:33:00,SKU_食_006,食品商品14,食品,退货退款,尺码不合适,56.86,已完成
RF20250705000621,京20250705677822,2025-07-05 10:34:00,SKU_电_007,电子商品17,电子,仅退款,尺码不合适,358.32,已完成
RF20250705000622,京20250705346896,2025-07-05 17:52:00,SKU_电_009,电子商品10,电子,仅退款,与描述不符,398.65,已完成
RF20250705000623,京20250705978847,2025-07-05 09:55:00,SKU_电_008,电子商品8,电子,仅退款,与描述不符,501.05,已拒绝
RF20250705000624,京20250705692426,2025-07-05 14:04:00,SKU_电_003,电子商品6,电子,仅退款,不想要了,398.65,已完成
RF20250705000625,京20250705334542,2025-07-05 08:47:00,SKU_电_005,电子商品8,电子,仅退款,物流太慢,382.28,已完成
RF20250705000626,京20250705052266,2025-07-05 15:43:00,SKU_电_009,电子商品9,电子,仅退款,与描述不符,417.58,处理中
RF20250705000627,京20250705964962,2025-07-05 09:34:00,SKU_电_001,电子商品16,电子,退货退款,不想要了,290.42,处理中
RF20250705000628,京20250705153378,2025-07-05 16:52:00,SKU_电_002,电子商品16,电子,仅退款,尺码不合适,352.3,处理中
RF20250705000629,京20250705795865,2025-07-05 13:44:00,SKU_电_002,电子商品1,电子,退货退款,物流太慢,427.99,处理中
RF20250705000630,京20250705897518,2025-07-05 13:35:00,SKU_电_003,电子商品11,电子,仅退款,与描述不符,473.65,已完成
RF20250705000631,京20250705338345,2025-07-05 18:31:00,SKU_电_003,电子商品18,电子,仅退款,物流太慢,437.1,已完成
RF20250705000632,京20250705381545,2025-07-05 17:06:00,SKU_电_001,电子商品13,电子,退货退款,尺码不合适,380.45,处理中
RF20250705000633,京20250705713731,2025-07-05 15:00:00,SKU_电_001,电子商品13,电子,仅退款,尺码不合适,382.69,已完成
RF20250705000634,京20250705789193,2025-07-05 13:00:00,SKU_电_005,电子商品8,电子,仅退款,质量问题,531.41,已完成
RF20250705000635,京20250705104573,2025-07-05 20:07:00,SKU_电_007,电子商品16,电子,退货退款,与描述不符,433.33,已完成
RF20250705000636,京20250705346592,2025-07-05 18:32:00,SKU_电_006,电子商品18,电子,退货退款,与描述不符,486.26,已完成
RF20250705000637,京20250705593406,2025-07-05 20:55:00,SKU_服_006,服装商品15,服装,退货退款,与描述不符,225.07,处理中
RF20250705000638,京20250705960498,2025-07-05 14:50:00,SKU_服_006,服装商品15,服装,仅退款,与描述不符,207.32,已完成
RF20250705000639,京20250705229219,2025-07-05 19:28:00,SKU_服_003,服装商品18,服装,仅退款,物流太慢,215.45,已完成
RF20250706000733,京20250706973654,2025-07-06 16:07:00,SKU_美_004,美妆商品17,美妆,退货退款,与描述不符,149.66,已完成
RF20250706000734,京20250706866957,2025-07-06 11:34:00,SKU_美_003,美妆商品19,美妆,仅退款,物流太慢,148.18,已完成
RF20250706000735,京20250706937577,2025-07-06 14:47:00,SKU_美_009,美妆商品6,美妆,仅退款,不想要了,149.39,已完成
RF20250706000736,京20250706823128,2025-07-06 15:03:00,SKU_美_006,美妆商品1,美妆,退货退款,物流太慢,116.32,已完成
RF20250706000737,京20250706149896,2025-07-06 20:01:00,SKU_美_002,美妆商品1,美妆,仅退款,与描述不符,161.94,处理中
RF20250706000738,京20250706497448,2025-07-06 16:45:00,SKU_美_001,美妆商品1,美妆,退货退款,不想要了,111.04,已完成
RF20250706000739,京20250706747050,2025-07-06 20:44:00,SKU_食_004,食品商品14,食品,退货退款,物流太慢,56.66,处理中
RF20250706000740,京20250706375182,2025-07-06 15:35:00,SKU_食_003,食品商品1,食品,退货退款,质量问题,49.31,处理中
RF20250706000741,京20250706548825,2025-07-06 10:46:00,SKU_食_006,食品商品16,食品,退货退款,质量问题,40.1,已拒绝
RF20250706000742,京20250706290760,2025-07-06 20:18:00,SKU_食_007,食品商品9,食品,仅退款,不想要了,62.07,已完成
RF20250706000743,京20250706899302,2025-07-06 14:47:00,SKU_食_008,食品商品13,食品,仅退款,物流太慢,54.95,处理中
RF20250706000744,京20250706048532,2025-07-06 12:33:00,SKU_食_006,食品商品16,食品,退货退款,物流太慢,43.81,已完成
RF20250706000745,京20250706556092,2025-07-06 18:50:00,SKU_食_008,食品商品14,食品,仅退款,与描述不符,39.5,处理中
RF20250706000746,京20250706447857,2025-07-06 08:20:00,SKU_食_001,食品商品12,食品,仅退款,尺码不合适,60.18,已完成
RF20250706000747,京20250706206781,2025-07-06 18:01:00,SKU_食_002,食品商品12,食品,退货退款,不想要了,48.68,处理中
RF20250706000748,京20250706704049,2025-07-06 17:38:00,SKU_食_009,食品商品15,食品,仅退款,不想要了,58.12,已完成
RF20250706000749,京20250706378357,2025-07-06 18:46:00,SKU_电_004,电子商品3,电子,仅退款,物流太慢,446.89,处理中
RF20250706000750,京20250706233770,2025-07-06 16:40:00,SKU_电_002,电子商品2,电子,退货退款,尺码不合适,423.72,已拒绝
RF20250706000751,京20250706486442,2025-07-06 16:54:00,SKU_电_009,电子商品6,电子,退货退款,尺码不合适,391.18,已拒绝
RF20250706000752,京20250706925455,2025-07-06 08:00:00,SKU_电_002,电子商品10,电子,退货退款,物流太慢,490.65,已完成
RF20250706000753,京20250706958362,2025-07-06 18:10:00,SKU_电_003,电子商品17,电子,退货退款,与描述不符,378.96,处理中
RF20250706000754,京20250706596106,2025-07-06 08:08:00,SKU_电_002,电子商品8,电子,仅退款,质量问题,449.9,已完成
RF20250706000755,京20250706166601,2025-07-06 15:43:00,SKU_电_002,电子商品16,电子,仅退款,质量问题,418.5,已完成
RF20250706000756,京20250706832572,2025-07-06 16:39:00,SKU_电_002,电子商品7,电子,退货退款,不想要了,344.47,处理中
RF20250706000757,京20250706559352,2025-07-06 16:48:00,SKU_电_007,电子商品17,电子,退货退款,质量问题,419.36,已完成
RF20250706000758,京20250706730673,2025-07-06 08:14:00,SKU_服_001,服装商品8,服装,仅退款,尺码不合适,154.39,已拒绝
RF20250706000759,京20250706230131,2025-07-06 19:11:00,SKU_服_002,服装商品12,服装,仅退款,物流太慢,174.53,已完成
RF20250706000760,京20250706691963,2025-07-06 11:28:00,SKU_服_005,服装商品5,服装,退货退款,质量问题,204.06,已完成
RF20250706000761,京20250706427021,2025-07-06 21:01:00,SKU_服_004,服装商品7,服装,退货退款,不想要了,225.46,已完成
RF20250707000881,京20250707253083,2025-07-07 09:32:00,SKU_美_007,美妆商品13,美妆,退货退款,不想要了,157.95,已拒绝
RF20250707000882,京20250707086921,2025-07-07 10:29:00,SKU_美_008,美妆商品11,美妆,退货退款,不想要了,176.17,已完成
RF20250707000883,京20250707619504,2025-07-07 20:17:00,SKU_美_002,美妆商品16,美妆,仅退款,物流太慢,156.55,已完成
RF20250707000884,京20250707177892,2025-07-07 16:05:00,SKU_美_002,美妆商品8,美妆,退货退款,物流太慢,107.31,已完成
RF20250707000885,京20250707461028,2025-07-07 13:11:00,SKU_美_007,美妆商品17,美妆,仅退款,尺码不合适,130.11,已完成
RF20250707000886,京20250707746563,2025-07-07 17:36:00,SKU_食_002,食品商品2,食品,退货退款,质量问题,68.97,已完成
RF20250707000887,京20250707698846,2025-07-07 16:33:00,SKU_食_005,食品商品15,食品,仅退款,尺码不合适,72.18,处理中
RF20250707000888,京20250707630568,2025-07-07 16:44:00,SKU_食_001,食品商品9,食品,仅退款,不想要了,64.8,已完成
RF20250707000889,京20250707118578,2025-07-07 14:47:00,SKU_食_007,食品商品18,食品,仅退款,尺码不合适,48.33,已完成
RF20250707000890,京20250707781805,2025-07-07 11:52:00,SKU_食_001,食品商品6,食品,退货退款,不想要了,37.67,已完成
RF20250707000891,京20250707777183,2025-07-07 18:52:00,SKU_食_001,食品商品9,食品,仅退款,尺码不合适,49.97,已完成
RF20250707000892,京20250707895351,2025-07-07 21:52:00,SKU_食_008,食品商品15,食品,仅退款,不想要了,44.88,已完成
RF20250707000893,京20250707166779,2025-07-07 14:37:00,SKU_食_004,食品商品10,食品,仅退款,尺码不合适,56.89,处理中
RF20250707000894,京20250707461290,2025-07-07 20:36:00,SKU_食_008,食品商品16,食品,退货退款,不想要了,31.77,已完成
RF20250707000895,京20250707563444,2025-07-07 12:21:00,SKU_电_004,电子商品17,电子,仅退款,尺码不合适,469.31,处理中
RF20250707000896,京20250707011492,2025-07-07 08:44:00,SKU_电_009,电子商品14,电子,仅退款,物流太慢,320.35,已完成
RF20250707000897,京20250707221971,2025-07-07 17:13:00,SKU_电_006,电子商品2,电子,退货退款,与描述不符,519.67,已完成
