日期,商品编码,商品名称,品类,仓库,可用库存,锁定库存,入库量,平均发货时长(小时),是否缺货
2025-07-02,SKU_食_002,食品商品2,食品,华南仓,721,45,249,15.9,False
2025-07-02,SKU_食_003,食品商品3,食品,华南仓,464,39,165,18.7,False
2025-07-02,SKU_食_004,食品商品4,食品,华南仓,431,44,45,23.0,False
2025-07-02,SKU_食_005,食品商品5,食品,华南仓,759,10,68,16.6,False
2025-07-02,SKU_食_001,食品商品1,食品,华北仓,446,7,26,15.5,False
2025-07-02,SKU_食_002,食品商品2,食品,华北仓,689,48,136,20.3,False
2025-07-02,SKU_食_003,食品商品3,食品,华北仓,739,15,115,18.0,False
2025-07-02,SKU_食_004,食品商品4,食品,华北仓,441,43,249,16.5,False
2025-07-02,SKU_食_005,食品商品5,食品,华北仓,259,36,12,19.3,False
2025-07-02,SKU_电_001,电子商品1,电子,华东仓,712,6,183,22.1,False
2025-07-02,SKU_电_002,电子商品2,电子,华东仓,678,25,269,21.4,False
2025-07-02,SKU_电_003,电子商品3,电子,华东仓,199,49,7,13.8,False
2025-07-02,SKU_电_004,电子商品4,电子,华东仓,779,8,296,22.4,False
2025-07-02,SKU_电_005,电子商品5,电子,华东仓,188,15,270,20.9,False
2025-07-02,SKU_电_001,电子商品1,电子,华南仓,176,27,223,18.2,False
2025-07-02,SKU_电_002,电子商品2,电子,华南仓,732,23,112,17.3,False
2025-07-02,SKU_电_003,电子商品3,电子,华南仓,408,30,60,22.5,False
2025-07-02,SKU_电_004,电子商品4,电子,华南仓,521,9,288,16.1,False
2025-07-02,SKU_电_005,电子商品5,电子,华南仓,431,5,97,13.9,False
2025-07-02,SKU_电_001,电子商品1,电子,华北仓,754,15,44,23.5,False
2025-07-02,SKU_电_002,电子商品2,电子,华北仓,484,24,146,17.1,False
2025-07-02,SKU_电_003,电子商品3,电子,华北仓,608,31,226,14.7,False
2025-07-02,SKU_电_004,电子商品4,电子,华北仓,635,42,240,14.8,False
2025-07-02,SKU_电_005,电子商品5,电子,华北仓,211,36,95,15.0,False
2025-07-02,SKU_服_001,服装商品1,服装,华东仓,567,43,127,12.3,False
2025-07-02,SKU_服_002,服装商品2,服装,华东仓,180,5,278,12.3,False
2025-07-02,SKU_服_003,服装商品3,服装,华东仓,797,35,189,16.6,False
2025-07-02,SKU_服_004,服装商品4,服装,华东仓,557,23,223,22.4,False
2025-07-02,SKU_服_005,服装商品5,服装,华东仓,725,44,62,19.2,False
2025-07-02,SKU_服_001,服装商品1,服装,华南仓,381,36,266,15.5,False
2025-07-02,SKU_服_002,服装商品2,服装,华南仓,167,6,87,23.1,False
2025-07-02,SKU_服_003,服装商品3,服装,华南仓,345,39,117,22.2,False
2025-07-02,SKU_服_004,服装商品4,服装,华南仓,362,48,241,12.5,False
2025-07-02,SKU_服_005,服装商品5,服装,华南仓,403,22,254,21.9,False
2025-07-02,SKU_服_001,服装商品1,服装,华北仓,611,21,252,16.1,False
2025-07-02,SKU_服_002,服装商品2,服装,华北仓,368,38,172,23.5,False
2025-07-02,SKU_服_003,服装商品3,服装,华北仓,213,33,101,16.5,False
2025-07-02,SKU_服_004,服装商品4,服装,华北仓,478,31,208,12.8,False
2025-07-02,SKU_服_005,服装商品5,服装,华北仓,275,38,97,17.5,False
2025-07-03,SKU_美_001,美妆商品1,美妆,华东仓,724,34,98,13.4,False
2025-07-03,SKU_美_002,美妆商品2,美妆,华东仓,698,31,212,14.1,False
2025-07-03,SKU_美_003,美妆商品3,美妆,华东仓,388,12,141,21.6,False
2025-07-03,SKU_美_004,美妆商品4,美妆,华东仓,682,10,4,22.4,False
2025-07-03,SKU_美_005,美妆商品5,美妆,华东仓,702,28,54,22.2,False
2025-07-03,SKU_美_001,美妆商品1,美妆,华南仓,342,8,63,15.3,False
2025-07-03,SKU_美_002,美妆商品2,美妆,华南仓,232,5,208,18.0,False
2025-07-03,SKU_美_003,美妆商品3,美妆,华南仓,747,28,278,16.0,False
2025-07-03,SKU_美_004,美妆商品4,美妆,华南仓,208,38,72,15.0,False
2025-07-03,SKU_美_005,美妆商品5,美妆,华南仓,435,12,273,19.1,False
2025-07-03,SKU_美_001,美妆商品1,美妆,华北仓,347,36,218,20.0,False
2025-07-03,SKU_美_002,美妆商品2,美妆,华北仓,335,29,41,22.7,False
2025-07-03,SKU_美_003,美妆商品3,美妆,华北仓,423,45,119,23.4,False
2025-07-03,SKU_美_004,美妆商品4,美妆,华北仓,152,8,237,16.7,False
2025-07-03,SKU_美_005,美妆商品5,美妆,华北仓,300,44,54,15.0,False
2025-07-03,SKU_食_001,食品商品1,食品,华东仓,119,37,187,13.8,False
2025-07-03,SKU_食_002,食品商品2,食品,华东仓,194,19,49,19.5,False
2025-07-03,SKU_食_003,食品商品3,食品,华东仓,758,8,209,16.6,False
2025-07-03,SKU_食_004,食品商品4,食品,华东仓,509,6,270,15.1,False
2025-07-03,SKU_食_005,食品商品5,食品,华东仓,645,22,137,19.7,False
2025-07-03,SKU_食_001,食品商品1,食品,华南仓,149,28,202,13.1,False
2025-07-03,SKU_食_002,食品商品2,食品,华南仓,646,6,276,23.5,False
2025-07-03,SKU_食_003,食品商品3,食品,华南仓,261,35,61,16.2,False
2025-07-03,SKU_食_004,食品商品4,食品,华南仓,109,25,197,15.7,False
2025-07-03,SKU_食_005,食品商品5,食品,华南仓,174,37,224,14.2,False
2025-07-03,SKU_食_001,食品商品1,食品,华北仓,604,28,205,16.5,False
2025-07-03,SKU_食_002,食品商品2,食品,华北仓,436,18,119,14.1,False
2025-07-03,SKU_食_003,食品商品3,食品,华北仓,458,48,28,22.6,False
2025-07-03,SKU_食_004,食品商品4,食品,华北仓,515,32,7,23.4,False
2025-07-03,SKU_食_005,食品商品5,食品,华北仓,648,46,21,19.9,False
2025-07-03,SKU_电_001,电子商品1,电子,华东仓,111,15,216,19.7,False
2025-07-03,SKU_电_002,电子商品2,电子,华东仓,490,25,196,20.3,False
2025-07-03,SKU_电_003,电子商品3,电子,华东仓,517,37,113,12.0,False
2025-07-03,SKU_电_004,电子商品4,电子,华东仓,325,27,127,18.0,False
2025-07-03,SKU_电_005,电子商品5,电子,华东仓,506,11,164,20.8,False
2025-07-03,SKU_电_001,电子商品1,电子,华南仓,717,20,70,24.0,False
2025-07-03,SKU_电_002,电子商品2,电子,华南仓,752,28,9,21.6,False
2025-07-03,SKU_电_003,电子商品3,电子,华南仓,652,38,198,14.5,False
2025-07-03,SKU_电_004,电子商品4,电子,华南仓,187,43,217,14.7,False
2025-07-03,SKU_电_005,电子商品5,电子,华南仓,237,15,140,17.6,False
2025-07-03,SKU_电_001,电子商品1,电子,华北仓,469,11,75,22.8,False
2025-07-03,SKU_电_002,电子商品2,电子,华北仓,329,49,293,14.4,False
2025-07-03,SKU_电_003,电子商品3,电子,华北仓,505,42,186,14.2,False
2025-07-03,SKU_电_004,电子商品4,电子,华北仓,544,29,92,12.9,False
2025-07-03,SKU_电_005,电子商品5,电子,华北仓,490,49,173,15.5,False
2025-07-03,SKU_服_001,服装商品1,服装,华东仓,299,32,121,20.7,False
2025-07-03,SKU_服_002,服装商品2,服装,华东仓,200,37,241,16.8,False
2025-07-03,SKU_服_003,服装商品3,服装,华东仓,252,6,84,12.5,False
2025-07-03,SKU_服_004,服装商品4,服装,华东仓,551,19,247,23.7,False
2025-07-03,SKU_服_005,服装商品5,服装,华东仓,219,47,109,20.1,False
2025-07-03,SKU_服_001,服装商品1,服装,华南仓,370,27,296,16.9,False
2025-07-03,SKU_服_002,服装商品2,服装,华南仓,648,40,65,19.3,False
2025-07-03,SKU_服_003,服装商品3,服装,华南仓,295,6,109,13.9,False
2025-07-03,SKU_服_004,服装商品4,服装,华南仓,181,40,44,23.6,False
2025-07-03,SKU_服_005,服装商品5,服装,华南仓,439,39,126,19.1,False
2025-07-03,SKU_服_001,服装商品1,服装,华北仓,224,48,274,16.6,False
2025-07-03,SKU_服_002,服装商品2,服装,华北仓,212,32,208,19.7,False
2025-07-03,SKU_服_003,服装商品3,服装,华北仓,252,6,192,18.1,False
2025-07-03,SKU_服_004,服装商品4,服装,华北仓,743,21,273,23.5,False
2025-07-03,SKU_服_005,服装商品5,服装,华北仓,653,23,192,16.9,False
2025-07-04,SKU_美_001,美妆商品1,美妆,华东仓,281,47,230,18.7,False
2025-07-04,SKU_美_002,美妆商品2,美妆,华东仓,162,30,237,15.3,False
2025-07-04,SKU_美_003,美妆商品3,美妆,华东仓,290,29,80,15.5,False
2025-07-04,SKU_美_004,美妆商品4,美妆,华东仓,302,22,6,16.1,False
2025-07-04,SKU_美_005,美妆商品5,美妆,华东仓,781,41,187,13.1,False
2025-07-04,SKU_美_001,美妆商品1,美妆,华南仓,321,47,178,16.8,False
2025-07-04,SKU_美_002,美妆商品2,美妆,华南仓,246,24,138,12.1,False
2025-07-04,SKU_美_003,美妆商品3,美妆,华南仓,603,48,11,12.3,False
2025-07-04,SKU_美_004,美妆商品4,美妆,华南仓,291,45,143,12.9,False
2025-07-04,SKU_美_005,美妆商品5,美妆,华南仓,289,43,45,16.2,False
2025-07-04,SKU_美_001,美妆商品1,美妆,华北仓,378,9,39,14.3,False
2025-07-04,SKU_美_002,美妆商品2,美妆,华北仓,260,18,114,19.1,False
2025-07-04,SKU_美_003,美妆商品3,美妆,华北仓,216,42,52,21.6,False
2025-07-04,SKU_美_004,美妆商品4,美妆,华北仓,105,7,144,13.5,False
2025-07-04,SKU_美_005,美妆商品5,美妆,华北仓,667,42,288,21.2,False
2025-07-04,SKU_食_001,食品商品1,食品,华东仓,700,41,184,16.2,False
2025-07-04,SKU_食_002,食品商品2,食品,华东仓,332,7,183,22.8,False
2025-07-04,SKU_食_003,食品商品3,食品,华东仓,519,24,18,20.0,False
2025-07-04,SKU_食_004,食品商品4,食品,华东仓,183,32,127,21.3,False
2025-07-04,SKU_食_005,食品商品5,食品,华东仓,618,28,249,22.5,False
2025-07-04,SKU_食_001,食品商品1,食品,华南仓,636,25,257,22.7,False
2025-07-04,SKU_食_002,食品商品2,食品,华南仓,201,48,22,20.8,False
2025-07-04,SKU_食_003,食品商品3,食品,华南仓,271,34,214,17.4,False
2025-07-04,SKU_食_004,食品商品4,食品,华南仓,514,5,290,16.2,False
2025-07-04,SKU_食_005,食品商品5,食品,华南仓,440,44,87,21.7,False
2025-07-04,SKU_食_001,食品商品1,食品,华北仓,722,15,86,13.8,False
2025-07-04,SKU_食_002,食品商品2,食品,华北仓,200,30,287,12.9,False
2025-07-04,SKU_食_003,食品商品3,食品,华北仓,240,18,202,13.9,False
2025-07-04,SKU_食_004,食品商品4,食品,华北仓,395,26,77,13.2,False
2025-07-04,SKU_食_005,食品商品5,食品,华北仓,745,31,227,13.2,False
2025-07-04,SKU_电_001,电子商品1,电子,华东仓,594,13,26,13.0,False
2025-07-04,SKU_电_002,电子商品2,电子,华东仓,156,5,196,13.5,False
2025-07-04,SKU_电_003,电子商品3,电子,华东仓,521,42,212,19.9,False
2025-07-04,SKU_电_004,电子商品4,电子,华东仓,129,8,230,12.8,False
2025-07-04,SKU_电_005,电子商品5,电子,华东仓,537,39,169,23.3,False
2025-07-04,SKU_电_001,电子商品1,电子,华南仓,743,12,18,13.7,False
2025-07-04,SKU_电_002,电子商品2,电子,华南仓,340,10,271,16.0,False
2025-07-04,SKU_电_003,电子商品3,电子,华南仓,377,47,221,21.7,False
2025-07-04,SKU_电_004,电子商品4,电子,华南仓,566,34,145,18.5,False
2025-07-04,SKU_电_005,电子商品5,电子,华南仓,469,13,138,15.0,False
2025-07-04,SKU_电_001,电子商品1,电子,华北仓,182,22,55,21.6,False
2025-07-04,SKU_电_002,电子商品2,电子,华北仓,421,28,262,15.5,False
2025-07-04,SKU_电_003,电子商品3,电子,华北仓,449,42,243,12.2,False
2025-07-04,SKU_电_004,电子商品4,电子,华北仓,609,22,293,13.3,False
2025-07-04,SKU_电_005,电子商品5,电子,华北仓,441,24,30,18.0,False
2025-07-04,SKU_服_001,服装商品1,服装,华东仓,282,6,143,23.6,False
2025-07-04,SKU_服_002,服装商品2,服装,华东仓,604,20,62,20.1,False
2025-07-04,SKU_服_003,服装商品3,服装,华东仓,589,23,205,23.1,False
2025-07-04,SKU_服_004,服装商品4,服装,华东仓,185,32,116,19.7,False
2025-07-04,SKU_服_005,服装商品5,服装,华东仓,233,38,92,14.6,False
2025-07-04,SKU_服_001,服装商品1,服装,华南仓,483,32,207,14.2,False
2025-07-04,SKU_服_002,服装商品2,服装,华南仓,645,26,71,15.5,False
2025-07-04,SKU_服_003,服装商品3,服装,华南仓,304,35,212,18.2,False
2025-07-04,SKU_服_004,服装商品4,服装,华南仓,475,21,137,21.6,False
2025-07-04,SKU_服_005,服装商品5,服装,华南仓,143,17,125,12.4,False
2025-07-04,SKU_服_001,服装商品1,服装,华北仓,766,23,200,19.0,False
2025-07-04,SKU_服_002,服装商品2,服装,华北仓,309,26,256,23.1,False
2025-07-04,SKU_服_003,服装商品3,服装,华北仓,166,43,71,17.2,False
2025-07-04,SKU_服_004,服装商品4,服装,华北仓,610,35,257,20.2,False
2025-07-04,SKU_服_005,服装商品5,服装,华北仓,335,19,218,20.8,False
2025-07-05,SKU_美_001,美妆商品1,美妆,华东仓,111,28,5,23.6,False
2025-07-05,SKU_美_002,美妆商品2,美妆,华东仓,604,13,120,15.7,False
2025-07-05,SKU_美_003,美妆商品3,美妆,华东仓,154,33,169,15.2,False
2025-07-05,SKU_美_004,美妆商品4,美妆,华东仓,180,15,70,14.4,False
2025-07-05,SKU_美_005,美妆商品5,美妆,华东仓,784,17,189,22.9,False
2025-07-05,SKU_美_001,美妆商品1,美妆,华南仓,265,21,138,16.3,False
2025-07-05,SKU_美_002,美妆商品2,美妆,华南仓,449,29,196,13.4,False
2025-07-05,SKU_美_003,美妆商品3,美妆,华南仓,306,14,235,15.9,False
2025-07-05,SKU_美_004,美妆商品4,美妆,华南仓,127,26,279,15.3,False
2025-07-05,SKU_美_005,美妆商品5,美妆,华南仓,582,29,226,17.3,False
2025-07-05,SKU_美_001,美妆商品1,美妆,华北仓,500,46,10,12.7,False
2025-07-05,SKU_美_002,美妆商品2,美妆,华北仓,593,23,64,15.4,False
2025-07-05,SKU_美_003,美妆商品3,美妆,华北仓,330,9,107,17.0,False
2025-07-05,SKU_美_004,美妆商品4,美妆,华北仓,197,27,222,22.4,False
2025-07-05,SKU_美_005,美妆商品5,美妆,华北仓,627,37,5,14.9,False
2025-07-05,SKU_食_001,食品商品1,食品,华东仓,487,7,32,18.2,False
2025-07-05,SKU_食_002,食品商品2,食品,华东仓,639,26,144,18.3,False
2025-07-05,SKU_食_003,食品商品3,食品,华东仓,336,31,14,13.0,False
2025-07-05,SKU_食_004,食品商品4,食品,华东仓,196,7,145,14.4,False
2025-07-05,SKU_食_005,食品商品5,食品,华东仓,574,15,14,15.8,False
2025-07-05,SKU_食_001,食品商品1,食品,华南仓,379,5,19,16.0,False
2025-07-05,SKU_食_002,食品商品2,食品,华南仓,722,36,163,19.6,False
2025-07-05,SKU_食_003,食品商品3,食品,华南仓,636,37,187,18.0,False
2025-07-05,SKU_食_004,食品商品4,食品,华南仓,126,5,146,21.7,False
2025-07-05,SKU_食_005,食品商品5,食品,华南仓,483,46,10,12.3,False
2025-07-05,SKU_食_001,食品商品1,食品,华北仓,702,10,296,22.0,False
2025-07-05,SKU_食_002,食品商品2,食品,华北仓,347,48,230,21.2,False
2025-07-05,SKU_食_003,食品商品3,食品,华北仓,192,45,208,20.2,False
2025-07-05,SKU_食_004,食品商品4,食品,华北仓,367,48,165,19.1,False
2025-07-05,SKU_食_005,食品商品5,食品,华北仓,483,35,285,23.1,False
2025-07-05,SKU_电_001,电子商品1,电子,华东仓,332,45,107,21.0,False
2025-07-05,SKU_电_002,电子商品2,电子,华东仓,786,6,164,21.5,False
2025-07-05,SKU_电_003,电子商品3,电子,华东仓,469,49,228,19.3,False
2025-07-05,SKU_电_004,电子商品4,电子,华东仓,713,5,143,16.0,False
2025-07-05,SKU_电_005,电子商品5,电子,华东仓,265,32,208,14.8,False
2025-07-05,SKU_电_001,电子商品1,电子,华南仓,596,23,238,14.8,False
2025-07-05,SKU_电_002,电子商品2,电子,华南仓,338,41,291,22.3,False
2025-07-05,SKU_电_003,电子商品3,电子,华南仓,493,44,157,18.0,False
2025-07-05,SKU_电_004,电子商品4,电子,华南仓,628,28,247,22.7,False
2025-07-05,SKU_电_005,电子商品5,电子,华南仓,398,27,202,18.0,False
2025-07-05,SKU_电_001,电子商品1,电子,华北仓,626,5,285,16.1,False
2025-07-05,SKU_电_002,电子商品2,电子,华北仓,285,13,137,18.7,False
2025-07-05,SKU_电_003,电子商品3,电子,华北仓,541,43,0,19.8,False
2025-07-05,SKU_电_004,电子商品4,电子,华北仓,683,25,282,17.7,False
2025-07-05,SKU_电_005,电子商品5,电子,华北仓,216,47,106,17.3,False
2025-07-05,SKU_服_001,服装商品1,服装,华东仓,247,9,190,12.2,False
2025-07-05,SKU_服_002,服装商品2,服装,华东仓,425,15,95,23.8,False
2025-07-05,SKU_服_003,服装商品3,服装,华东仓,297,43,218,12.8,False
2025-07-05,SKU_服_004,服装商品4,服装,华东仓,710,24,53,20.0,False
2025-07-05,SKU_服_005,服装商品5,服装,华东仓,155,43,132,14.2,False
2025-07-05,SKU_服_001,服装商品1,服装,华南仓,751,26,281,21.8,False
2025-07-05,SKU_服_002,服装商品2,服装,华南仓,610,5,216,13.4,False
2025-07-05,SKU_服_003,服装商品3,服装,华南仓,755,42,105,15.6,False
2025-07-05,SKU_服_004,服装商品4,服装,华南仓,730,37,219,17.5,False
2025-07-05,SKU_服_005,服装商品5,服装,华南仓,372,18,173,23.1,False
2025-07-05,SKU_服_001,服装商品1,服装,华北仓,398,26,101,16.6,False
2025-07-05,SKU_服_002,服装商品2,服装,华北仓,177,42,55,18.1,False
2025-07-05,SKU_服_003,服装商品3,服装,华北仓,655,28,223,14.4,False
2025-07-05,SKU_服_004,服装商品4,服装,华北仓,132,42,113,22.3,False
2025-07-05,SKU_服_005,服装商品5,服装,华北仓,463,16,247,21.6,False
2025-07-06,SKU_美_001,美妆商品1,美妆,华东仓,391,45,279,22.4,False
2025-07-06,SKU_美_002,美妆商品2,美妆,华东仓,432,18,96,13.9,False
2025-07-06,SKU_美_003,美妆商品3,美妆,华东仓,329,44,156,17.9,False
2025-07-06,SKU_美_004,美妆商品4,美妆,华东仓,338,12,16,13.9,False
2025-07-06,SKU_美_005,美妆商品5,美妆,华东仓,698,27,165,21.0,False
2025-07-06,SKU_美_001,美妆商品1,美妆,华南仓,208,47,184,23.5,False
2025-07-06,SKU_美_002,美妆商品2,美妆,华南仓,288,32,205,21.5,False
2025-07-06,SKU_美_003,美妆商品3,美妆,华南仓,192,26,66,17.6,False
2025-07-06,SKU_美_004,美妆商品4,美妆,华南仓,713,40,128,21.3,False
2025-07-06,SKU_美_005,美妆商品5,美妆,华南仓,518,12,68,15.8,False
2025-07-06,SKU_美_001,美妆商品1,美妆,华北仓,438,11,210,18.5,False
2025-07-06,SKU_美_002,美妆商品2,美妆,华北仓,567,16,136,14.5,False
2025-07-06,SKU_美_003,美妆商品3,美妆,华北仓,482,44,197,15.8,False
2025-07-06,SKU_美_004,美妆商品4,美妆,华北仓,151,32,183,17.3,False
2025-07-06,SKU_美_005,美妆商品5,美妆,华北仓,679,46,108,20.7,False
2025-07-06,SKU_食_001,食品商品1,食品,华东仓,549,40,9,15.8,False
2025-07-06,SKU_食_002,食品商品2,食品,华东仓,690,43,60,14.0,False
2025-07-06,SKU_食_003,食品商品3,食品,华东仓,750,33,158,19.4,False
2025-07-06,SKU_食_004,食品商品4,食品,华东仓,598,27,123,13.0,False
2025-07-06,SKU_食_005,食品商品5,食品,华东仓,511,47,51,21.1,False
2025-07-06,SKU_食_001,食品商品1,食品,华南仓,414,24,148,19.9,False
2025-07-06,SKU_食_002,食品商品2,食品,华南仓,419,15,156,13.2,False
2025-07-06,SKU_食_003,食品商品3,食品,华南仓,463,42,185,23.0,False
2025-07-06,SKU_食_004,食品商品4,食品,华南仓,745,7,151,13.4,False
2025-07-06,SKU_食_005,食品商品5,食品,华南仓,183,12,29,12.2,False
2025-07-06,SKU_食_001,食品商品1,食品,华北仓,122,10,55,13.2,False
2025-07-06,SKU_食_002,食品商品2,食品,华北仓,192,17,232,12.7,False
2025-07-06,SKU_食_003,食品商品3,食品,华北仓,197,5,19,15.9,False
2025-07-06,SKU_食_004,食品商品4,食品,华北仓,558,38,249,13.2,False
2025-07-06,SKU_食_005,食品商品5,食品,华北仓,309,22,256,15.5,False
2025-07-06,SKU_电_001,电子商品1,电子,华东仓,402,16,46,22.2,False
2025-07-06,SKU_电_002,电子商品2,电子,华东仓,140,9,31,16.9,False
2025-07-06,SKU_电_003,电子商品3,电子,华东仓,474,24,212,19.1,False
2025-07-06,SKU_电_004,电子商品4,电子,华东仓,213,40,187,21.9,False
