日期,计划ID,计划名称,计划类型,品类,展现量,点击量,点击率,花费,平均点击花费,直接支付订单数,直接支付金额,间接支付订单数,间接支付金额,ROI
2025-07-08,camp_淘_001,美妆新品-信息流,信息流,美妆,134659,4168,0.031,4197.64,1.01,86,11342.33,20,2738.72,3.35
2025-07-08,camp_淘_002,食品特卖-直播推广,直播推广,食品,110473,3899,0.0353,1838.21,0.47,34,1480.85,9,445.75,1.05
2025-07-08,camp_淘_003,电子数码-智能推荐,信息流,电子,125396,3495,0.0279,3936.65,1.13,74,26206.21,14,4388.94,7.77
2025-07-08,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,108326,4530,0.0418,3372.23,0.74,88,30462.22,15,4160.64,10.27
2025-07-08,camp_淘_005,服装上新-信息流,信息流,服装,121978,3486,0.0286,3313.37,0.95,66,11270.72,10,1930.31,3.98
2025-07-08,camp_淘_006,服装大促-搜索推广,搜索推广,服装,117334,4605,0.0393,3101.15,0.67,101,14489.08,12,2238.55,5.39
2025-07-08,camp_淘_007,食品健康-搜索推广,搜索推广,食品,85973,1659,0.0193,1350.59,0.81,28,1255.2,2,81.34,0.99
2025-07-09,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,65157,2625,0.0403,1462.07,0.56,60,6743.9,6,789.34,5.15
2025-07-09,camp_淘_001,美妆新品-信息流,信息流,美妆,82424,3371,0.0409,3690.16,1.09,82,9415.57,8,1034.98,2.83
2025-07-09,camp_淘_002,食品特卖-直播推广,直播推广,食品,66195,1894,0.0286,1306.31,0.69,41,2193.85,5,234.99,1.86
2025-07-09,camp_淘_003,电子数码-智能推荐,信息流,电子,88959,3216,0.0362,1338.16,0.42,45,14834.61,8,2330.61,12.83
2025-07-09,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,74576,3069,0.0412,1771.13,0.58,48,17101.85,5,1825.61,10.69
2025-07-09,camp_淘_005,服装上新-信息流,信息流,服装,76140,1552,0.0204,1387.06,0.89,12,2451.86,1,181.81,1.9
2025-07-09,camp_淘_006,服装大促-搜索推广,搜索推广,服装,76704,2867,0.0374,2041.39,0.71,26,4789.49,5,1082.39,2.88
2025-07-09,camp_淘_007,食品健康-搜索推广,搜索推广,食品,81798,3382,0.0413,3741.64,1.11,69,2871.68,16,907.61,1.01
2025-07-10,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,80320,1932,0.0241,1318.64,0.68,47,6685.84,7,939.49,5.78
2025-07-10,camp_淘_001,美妆新品-信息流,信息流,美妆,114325,4936,0.0432,4359.15,0.88,103,13782.45,28,3376.67,3.94
2025-07-10,camp_淘_002,食品特卖-直播推广,直播推广,食品,72929,3049,0.0418,2528.49,0.83,41,1749.34,4,185.16,0.77
2025-07-10,camp_淘_003,电子数码-智能推荐,信息流,电子,116918,4143,0.0354,3876.09,0.94,67,25849.97,15,5333.64,8.05
2025-07-10,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,70902,2836,0.04,1268.44,0.45,41,14920.28,9,3160.73,14.25
2025-07-10,camp_淘_005,服装上新-信息流,信息流,服装,129451,2945,0.0228,3089.9,1.05,68,10449.85,15,2948.43,4.34
2025-07-10,camp_淘_006,服装大促-搜索推广,搜索推广,服装,133692,4983,0.0373,4072.52,0.82,106,21919.08,30,4821.73,6.57
2025-07-10,camp_淘_007,食品健康-搜索推广,搜索推广,食品,60060,1504,0.025,1030.06,0.68,15,707.87,2,84.98,0.77
2025-07-11,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,74739,2444,0.0327,1560.64,0.64,27,3788.18,7,927.09,3.02
2025-07-11,camp_淘_001,美妆新品-信息流,信息流,美妆,53106,1517,0.0286,1184.96,0.78,12,1353.82,2,240.44,1.35
2025-07-11,camp_淘_002,食品特卖-直播推广,直播推广,食品,98677,3505,0.0355,1884.24,0.54,49,2074.35,8,358.46,1.29
2025-07-11,camp_淘_003,电子数码-智能推荐,信息流,电子,65019,2603,0.04,2803.44,1.08,64,21994.63,17,6547.05,10.18
2025-07-11,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,126815,4109,0.0324,2855.39,0.69,66,22277.36,17,4541.29,9.39
2025-07-11,camp_淘_005,服装上新-信息流,信息流,服装,120626,2349,0.0195,2162.64,0.92,50,8805.78,6,832.84,4.46
2025-07-11,camp_淘_006,服装大促-搜索推广,搜索推广,服装,138691,2946,0.0212,2336.89,0.79,58,10927.65,11,1705.77,5.41
2025-07-11,camp_淘_007,食品健康-搜索推广,搜索推广,食品,98616,2915,0.0296,3274.33,1.12,63,3073.34,7,249.24,1.01
2025-07-12,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,65983,1868,0.0283,1616.85,0.87,41,6116.69,7,738.28,4.24
2025-07-12,camp_淘_001,美妆新品-信息流,信息流,美妆,88905,3561,0.0401,2034.83,0.57,51,7022.25,8,1044.42,3.96
2025-07-12,camp_淘_002,食品特卖-直播推广,直播推广,食品,127286,5431,0.0427,4135.47,0.76,67,3000.84,11,594.04,0.87
2025-07-12,camp_淘_003,电子数码-智能推荐,信息流,电子,61434,2014,0.0328,2270.23,1.13,32,11302.38,9,3755.67,6.63
2025-07-12,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,118419,3850,0.0325,1976.36,0.51,91,27598.28,16,6740.65,17.37
2025-07-12,camp_淘_005,服装上新-信息流,信息流,服装,88814,3446,0.0388,1716.03,0.5,68,12907.47,13,2851.88,9.18
2025-07-12,camp_淘_006,服装大促-搜索推广,搜索推广,服装,115954,3179,0.0274,2759.84,0.87,61,11177.74,10,1790.62,4.7
2025-07-12,camp_淘_007,食品健康-搜索推广,搜索推广,食品,65291,1831,0.0281,2174.6,1.19,18,893.42,3,143.69,0.48
2025-07-13,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,141135,6321,0.0448,3003.26,0.48,63,9299.28,12,1719.9,3.67
2025-07-13,camp_淘_001,美妆新品-信息流,信息流,美妆,108735,2936,0.027,3387.68,1.15,47,6122.2,11,1770.11,2.33
2025-07-13,camp_淘_002,食品特卖-直播推广,直播推广,食品,79375,1601,0.0202,1439.49,0.9,22,1007.45,2,88.43,0.76
2025-07-13,camp_淘_003,电子数码-智能推荐,信息流,电子,100706,3423,0.034,1764.48,0.52,36,13088.06,8,2604.5,8.89
2025-07-13,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,139521,3449,0.0247,2336.25,0.68,80,31911.59,22,8497.57,17.3
2025-07-13,camp_淘_005,服装上新-信息流,信息流,服装,120483,3601,0.0299,2375.37,0.66,39,6910.99,6,1206.78,3.42
2025-07-13,camp_淘_006,服装大促-搜索推广,搜索推广,服装,80752,2290,0.0284,2327.88,1.02,56,9803.11,12,2108.4,5.12
2025-07-13,camp_淘_007,食品健康-搜索推广,搜索推广,食品,70344,1623,0.0231,1157.41,0.71,17,646.79,3,126.35,0.67
2025-07-14,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,59514,2361,0.0397,2199.0,0.93,31,3548.04,8,937.11,2.04
2025-07-14,camp_淘_001,美妆新品-信息流,信息流,美妆,133932,4998,0.0373,3829.48,0.77,53,6139.69,9,1209.84,1.92
2025-07-14,camp_淘_002,食品特卖-直播推广,直播推广,食品,145605,6017,0.0413,2814.29,0.47,107,5644.65,23,1026.54,2.37
2025-07-14,camp_淘_003,电子数码-智能推荐,信息流,电子,73620,2531,0.0344,2744.09,1.08,57,21889.7,12,3334.54,9.19
2025-07-14,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,121757,3919,0.0322,2944.61,0.75,82,31724.65,19,6499.02,12.98
2025-07-14,camp_淘_005,服装上新-信息流,信息流,服装,140747,5780,0.0411,3743.14,0.65,57,9115.28,13,2214.45,3.03
2025-07-14,camp_淘_006,服装大促-搜索推广,搜索推广,服装,72613,2897,0.0399,3055.16,1.05,56,10397.5,10,2077.82,4.08
2025-07-14,camp_淘_007,食品健康-搜索推广,搜索推广,食品,149196,5800,0.0389,4941.95,0.85,119,4858.93,34,1258.24,1.24
2025-07-15,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,96849,4286,0.0443,4604.94,1.07,55,7880.7,12,1581.12,2.05
2025-07-15,camp_淘_001,美妆新品-信息流,信息流,美妆,144230,5299,0.0367,4511.7,0.85,128,19919.29,15,1818.88,4.82
2025-07-15,camp_淘_002,食品特卖-直播推广,直播推广,食品,120243,2670,0.0222,2204.45,0.83,48,1651.81,5,210.64,0.84
2025-07-15,camp_淘_003,电子数码-智能推荐,信息流,电子,119397,5286,0.0443,2681.41,0.51,47,17253.75,13,5076.86,8.33
2025-07-15,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,105354,3105,0.0295,3036.98,0.98,62,20399.07,10,3178.13,7.76
2025-07-15,camp_淘_005,服装上新-信息流,信息流,服装,124883,4094,0.0328,4131.9,1.01,79,13485.7,19,3352.16,4.08
2025-07-15,camp_淘_006,服装大促-搜索推广,搜索推广,服装,106340,2247,0.0211,1673.27,0.74,47,7956.75,6,983.28,5.34
2025-07-15,camp_淘_007,食品健康-搜索推广,搜索推广,食品,130605,5470,0.0419,4089.42,0.75,104,4963.29,10,427.04,1.32
2025-07-16,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,62029,1807,0.0291,803.08,0.44,35,4415.52,9,1159.93,6.94
2025-07-16,camp_淘_001,美妆新品-信息流,信息流,美妆,82258,3127,0.038,3234.07,1.03,49,5826.66,10,1492.45,2.26
2025-07-16,camp_淘_002,食品特卖-直播推广,直播推广,食品,54677,1148,0.021,501.23,0.44,13,618.59,3,165.65,1.56
2025-07-16,camp_淘_003,电子数码-智能推荐,信息流,电子,75177,2940,0.0391,2799.68,0.95,68,21773.12,20,7204.5,10.35
2025-07-16,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,130262,3673,0.0282,2307.18,0.63,72,19971.35,20,7083.64,11.73
2025-07-16,camp_淘_005,服装上新-信息流,信息流,服装,107140,2532,0.0236,3007.14,1.19,62,12087.74,7,1126.99,4.39
2025-07-16,camp_淘_006,服装大促-搜索推广,搜索推广,服装,142766,4801,0.0336,5422.65,1.13,102,16232.51,30,3885.53,3.71
2025-07-16,camp_淘_007,食品健康-搜索推广,搜索推广,食品,90945,2951,0.0324,1605.74,0.54,46,1869.48,5,222.19,1.3
2025-07-17,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,69229,2003,0.0289,2382.62,1.19,48,6227.72,9,1016.21,3.04
2025-07-17,camp_淘_001,美妆新品-信息流,信息流,美妆,75012,2367,0.0316,2683.39,1.13,51,6512.44,12,1159.02,2.86
2025-07-17,camp_淘_002,食品特卖-直播推广,直播推广,食品,101276,3237,0.032,3201.54,0.99,62,2244.12,13,667.97,0.91
2025-07-17,camp_淘_003,电子数码-智能推荐,信息流,电子,97166,2783,0.0286,1728.27,0.62,59,19513.97,13,3983.86,13.6
2025-07-17,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,100234,3129,0.0312,2161.92,0.69,29,9598.3,6,2071.23,5.4
2025-07-17,camp_淘_005,服装上新-信息流,信息流,服装,103260,2715,0.0263,2289.2,0.84,56,9230.74,13,2293.34,5.03
2025-07-17,camp_淘_006,服装大促-搜索推广,搜索推广,服装,81863,2724,0.0333,1310.06,0.48,33,5710.33,6,1116.31,5.21
2025-07-17,camp_淘_007,食品健康-搜索推广,搜索推广,食品,113996,2561,0.0225,1323.45,0.52,52,2548.02,11,595.87,2.38
2025-07-18,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,50405,2225,0.0441,1929.96,0.87,19,2344.87,3,411.73,1.43
2025-07-18,camp_淘_001,美妆新品-信息流,信息流,美妆,144410,2734,0.0189,2818.58,1.03,41,5545.73,8,1055.93,2.34
2025-07-18,camp_淘_002,食品特卖-直播推广,直播推广,食品,98123,3594,0.0366,3481.57,0.97,55,2532.79,11,511.67,0.87
2025-07-18,camp_淘_003,电子数码-智能推荐,信息流,电子,128745,3329,0.0259,2608.12,0.78,52,19083.24,10,3296.69,8.58
2025-07-18,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,91956,1829,0.0199,1487.06,0.81,26,11581.09,4,1421.43,8.74
2025-07-18,camp_淘_005,服装上新-信息流,信息流,服装,136285,4277,0.0314,3769.8,0.88,103,18129.93,22,4308.17,5.95
2025-07-18,camp_淘_006,服装大促-搜索推广,搜索推广,服装,122281,3723,0.0304,4348.33,1.17,92,16135.75,25,4067.17,4.65
2025-07-18,camp_淘_007,食品健康-搜索推广,搜索推广,食品,87504,3761,0.043,4029.64,1.07,61,2822.7,15,717.72,0.88
2025-07-19,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,69778,2824,0.0405,2695.14,0.95,58,6882.82,11,1267.71,3.02
2025-07-19,camp_淘_001,美妆新品-信息流,信息流,美妆,69187,1932,0.0279,2135.66,1.11,44,5890.81,10,1087.71,3.27
2025-07-19,camp_淘_002,食品特卖-直播推广,直播推广,食品,125740,2571,0.0205,1679.48,0.65,62,3369.09,12,596.92,2.36
2025-07-19,camp_淘_003,电子数码-智能推荐,信息流,电子,83457,2779,0.0333,1961.28,0.71,35,13280.92,6,1907.65,7.74
2025-07-19,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,51251,936,0.0183,807.17,0.86,15,3872.79,2,601.83,5.54
2025-07-19,camp_淘_005,服装上新-信息流,信息流,服装,144102,5520,0.0383,3169.53,0.57,94,13691.31,20,3969.05,5.57
2025-07-19,camp_淘_006,服装大促-搜索推广,搜索推广,服装,104405,2443,0.0234,1194.56,0.49,27,4025.49,7,1407.06,4.55
2025-07-19,camp_淘_007,食品健康-搜索推广,搜索推广,食品,139795,3657,0.0262,2172.11,0.59,67,2912.63,12,495.5,1.57
2025-07-20,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,131034,2598,0.0198,1285.77,0.49,43,4916.15,5,565.95,4.26
2025-07-20,camp_淘_001,美妆新品-信息流,信息流,美妆,115278,4350,0.0377,4193.08,0.96,50,5803.42,14,1906.36,1.84
2025-07-20,camp_淘_002,食品特卖-直播推广,直播推广,食品,92394,2798,0.0303,3169.97,1.13,67,3366.24,17,679.92,1.28
2025-07-20,camp_淘_003,电子数码-智能推荐,信息流,电子,107119,2205,0.0206,2028.97,0.92,28,9245.18,3,949.43,5.02
2025-07-20,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,93137,3993,0.0429,4448.31,1.11,34,13389.03,9,2790.74,3.64
2025-07-20,camp_淘_005,服装上新-信息流,信息流,服装,114473,4135,0.0361,2840.01,0.69,89,17530.48,18,3597.84,7.44
2025-07-20,camp_淘_006,服装大促-搜索推广,搜索推广,服装,108919,4784,0.0439,4994.75,1.04,77,13004.35,14,2661.07,3.14
2025-07-20,camp_淘_007,食品健康-搜索推广,搜索推广,食品,50781,2202,0.0434,2578.2,1.17,33,1382.53,8,365.28,0.68
2025-07-21,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,102546,3884,0.0379,4237.73,1.09,91,13364.82,24,3573.2,4.0
2025-07-21,camp_淘_001,美妆新品-信息流,信息流,美妆,87079,3845,0.0442,1846.98,0.48,81,9190.35,8,1026.33,5.53
2025-07-21,camp_淘_002,食品特卖-直播推广,直播推广,食品,144622,6254,0.0432,6948.36,1.11,90,4094.01,25,1236.43,0.77
2025-07-21,camp_淘_003,电子数码-智能推荐,信息流,电子,104410,2099,0.0201,2342.51,1.12,48,17794.76,9,3332.49,9.02
2025-07-21,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,149112,3117,0.0209,1483.69,0.48,33,10521.93,5,1780.36,8.29
2025-07-21,camp_淘_005,服装上新-信息流,信息流,服装,112699,2233,0.0198,1665.82,0.75,24,4157.99,6,995.62,3.09
2025-07-21,camp_淘_006,服装大促-搜索推广,搜索推广,服装,61889,2306,0.0373,1147.11,0.5,32,5000.75,7,1296.04,5.49
2025-07-21,camp_淘_007,食品健康-搜索推广,搜索推广,食品,87703,2222,0.0253,1107.3,0.5,39,1544.55,5,227.11,1.6
2025-07-22,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,111424,2782,0.025,2314.64,0.83,59,8717.09,11,1063.44,4.23
2025-07-22,camp_淘_001,美妆新品-信息流,信息流,美妆,134158,5369,0.04,4529.87,0.84,72,10742.45,17,2222.12,2.86
2025-07-22,camp_淘_002,食品特卖-直播推广,直播推广,食品,109651,2714,0.0248,2431.23,0.9,65,2964.06,8,371.37,1.37
2025-07-22,camp_淘_003,电子数码-智能推荐,信息流,电子,56964,1979,0.0348,1330.69,0.67,46,13945.87,6,2218.2,12.15
2025-07-22,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,56556,1100,0.0195,685.81,0.62,19,6994.86,3,1169.57,11.9
2025-07-22,camp_淘_005,服装上新-信息流,信息流,服装,115513,4141,0.0359,4312.0,1.04,83,16177.55,8,1274.18,4.05
2025-07-22,camp_淘_006,服装大促-搜索推广,搜索推广,服装,80142,1765,0.022,1785.11,1.01,25,4724.47,5,962.06,3.19
2025-07-22,camp_淘_007,食品健康-搜索推广,搜索推广,食品,62179,1635,0.0263,1695.33,1.04,15,724.07,3,136.55,0.51
2025-07-23,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,70687,1944,0.0275,1103.99,0.57,24,3467.67,5,571.29,3.66
2025-07-23,camp_淘_001,美妆新品-信息流,信息流,美妆,95996,2181,0.0227,1681.33,0.77,26,3342.35,4,478.66,2.27
2025-07-23,camp_淘_002,食品特卖-直播推广,直播推广,食品,136330,6063,0.0445,2966.75,0.49,130,5758.36,18,933.27,2.26
2025-07-23,camp_淘_003,电子数码-智能推荐,信息流,电子,74152,3254,0.0439,3571.86,1.1,39,10291.21,7,2269.5,3.52
2025-07-23,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,117699,2967,0.0252,3445.94,1.16,64,23674.24,15,5326.22,8.42
2025-07-23,camp_淘_005,服装上新-信息流,信息流,服装,116374,5235,0.045,5164.99,0.99,53,8532.03,15,2343.24,2.11
2025-07-23,camp_淘_006,服装大促-搜索推广,搜索推广,服装,91520,3826,0.0418,1664.63,0.44,62,10741.06,11,1983.54,7.64
2025-07-23,camp_淘_007,食品健康-搜索推广,搜索推广,食品,135554,4859,0.0359,3504.98,0.72,80,3578.88,19,1031.61,1.32
2025-07-24,camp_淘_000,美妆爆款-精准人群,搜索推广,美妆,122514,2835,0.0231,2564.23,0.9,29,3625.89,6,732.99,1.7
2025-07-24,camp_淘_001,美妆新品-信息流,信息流,美妆,95521,4064,0.0425,4216.13,1.04,88,10690.43,10,1328.76,2.85
2025-07-24,camp_淘_002,食品特卖-直播推广,直播推广,食品,55942,2491,0.0445,1945.88,0.78,52,2380.34,8,321.8,1.39
2025-07-24,camp_淘_003,电子数码-智能推荐,信息流,电子,69976,2907,0.0415,1824.41,0.63,31,11087.85,4,1523.89,6.91
2025-07-24,camp_淘_004,电子旗舰-搜索推广,搜索推广,电子,60855,1800,0.0296,1445.13,0.8,17,5472.82,1,332.46,4.02
2025-07-24,camp_淘_005,服装上新-信息流,信息流,服装,120254,4639,0.0386,3973.84,0.86,86,14484.45,15,2865.71,4.37
2025-07-24,camp_淘_006,服装大促-搜索推广,搜索推广,服装,96849,4269,0.0441,4553.81,1.07,65,11807.44,8,1437.95,2.91
2025-07-24,camp_淘_007,食品健康-搜索推广,搜索推广,食品,94073,3457,0.0368,1475.64,0.43,61,2735.32,17,876.05,2.45
