日期,商品编码,商品名称,品类,商品访客数,product_pv,加购人数,支付订单数,支付金额,支付转化率,上架状态,listing_price,actual_selling_price,review_score,review_count
2025-07-02,SKU_美_006,美妆热卖商品6,美妆,1884,5495,398,53,8442.37,0.0281,在售,199.0,159.29,4.3,3779
2025-07-02,SKU_美_007,美妆热卖商品7,美妆,698,1429,107,17,2326.79,0.0244,在售,180.0,136.87,4.8,1088
2025-07-02,SKU_美_008,美妆热卖商品8,美妆,1367,3582,279,31,5910.77,0.0227,在售,227.0,190.67,4.7,1713
2025-07-02,SKU_美_009,美妆热卖商品9,美妆,1126,3080,185,20,3238.4,0.0178,在售,214.0,161.92,4.8,2418
2025-07-02,SKU_美_010,美妆热卖商品10,美妆,1692,4436,240,32,3612.48,0.0189,在售,160.0,112.89,4.3,969
2025-07-02,SKU_服_001,服装热卖商品1,服装,1248,2934,233,34,6456.6,0.0272,在售,244.0,189.9,4.3,4990
2025-07-02,SKU_服_002,服装热卖商品2,服装,514,1040,75,8,1186.4,0.0156,在售,225.0,148.3,4.5,270
2025-07-02,SKU_服_003,服装热卖商品3,服装,1691,4339,246,39,6796.92,0.0231,在售,227.0,174.28,4.2,4031
2025-07-02,SKU_服_004,服装热卖商品4,服装,1661,3775,216,47,9018.83,0.0283,在售,267.0,191.89,4.5,2826
2025-07-02,SKU_服_005,服装热卖商品5,服装,1616,4313,199,37,6292.22,0.0229,在售,208.0,170.06,4.7,2129
2025-07-02,SKU_服_006,服装热卖商品6,服装,924,2044,100,23,4929.36,0.0249,在售,255.0,214.32,4.3,703
2025-07-02,SKU_服_007,服装热卖商品7,服装,1503,4311,264,37,7865.83,0.0246,在售,251.0,212.59,4.2,2976
2025-07-02,SKU_服_008,服装热卖商品8,服装,1741,5209,233,48,8685.12,0.0276,在售,221.0,180.94,4.5,513
2025-07-02,SKU_服_009,服装热卖商品9,服装,646,1758,136,13,2735.46,0.0201,在售,263.0,210.42,4.5,4790
2025-07-02,SKU_服_010,服装热卖商品10,服装,1257,3348,162,28,3761.52,0.0223,在售,205.0,134.34,4.2,1558
2025-07-03,SKU_美_001,美妆热卖商品1,美妆,2394,5289,350,49,6441.05,0.0205,在售,157.0,131.45,4.4,4854
2025-07-03,SKU_美_002,美妆热卖商品2,美妆,2439,5836,412,53,9374.64,0.0217,在售,218.0,176.88,4.9,314
2025-07-03,SKU_美_003,美妆热卖商品3,美妆,1440,3570,171,30,4946.1,0.0208,在售,221.0,164.87,4.2,866
2025-07-03,SKU_美_004,美妆热卖商品4,美妆,769,2222,153,22,3426.72,0.0286,在售,208.0,155.76,4.6,2928
2025-07-03,SKU_美_005,美妆热卖商品5,美妆,1678,4146,286,27,2795.58,0.0161,在售,144.0,103.54,4.3,2585
2025-07-03,SKU_美_006,美妆热卖商品6,美妆,1673,4594,278,44,6429.72,0.0263,在售,199.0,146.13,4.3,3779
2025-07-03,SKU_美_007,美妆热卖商品7,美妆,1798,3705,181,41,5677.27,0.0228,在售,180.0,138.47,4.8,1088
2025-07-03,SKU_美_008,美妆热卖商品8,美妆,2538,7129,335,56,9139.2,0.0221,在售,227.0,163.2,4.7,1713
2025-07-03,SKU_美_009,美妆热卖商品9,美妆,1199,2781,185,31,5469.64,0.0259,在售,214.0,176.44,4.8,2418
2025-07-03,SKU_美_010,美妆热卖商品10,美妆,2001,5884,372,35,4224.15,0.0175,在售,160.0,120.69,4.3,969
2025-07-03,SKU_服_001,服装热卖商品1,服装,1633,4176,204,45,7865.1,0.0276,在售,244.0,174.78,4.3,4990
2025-07-03,SKU_服_002,服装热卖商品2,服装,527,1356,110,15,2364.15,0.0285,在售,225.0,157.61,4.5,270
2025-07-03,SKU_服_003,服装热卖商品3,服装,1791,4841,256,42,7935.9,0.0235,在售,227.0,188.95,4.2,4031
2025-07-03,SKU_服_004,服装热卖商品4,服装,1945,4751,364,52,9686.04,0.0267,在售,267.0,186.27,4.5,2826
2025-07-03,SKU_服_005,服装热卖商品5,服装,1350,2981,221,35,5177.9,0.0259,在售,208.0,147.94,4.7,2129
2025-07-03,SKU_服_006,服装热卖商品6,服装,507,1193,89,11,2116.84,0.0217,在售,255.0,192.44,4.3,703
2025-07-03,SKU_服_007,服装热卖商品7,服装,824,2398,86,21,3575.04,0.0255,在售,251.0,170.24,4.2,2976
2025-07-03,SKU_服_008,服装热卖商品8,服装,633,1790,127,18,3119.94,0.0284,在售,221.0,173.33,4.5,513
2025-07-03,SKU_服_009,服装热卖商品9,服装,1590,4310,324,28,6207.04,0.0176,在售,263.0,221.68,4.5,4790
2025-07-03,SKU_服_010,服装热卖商品10,服装,841,2505,172,20,2983.4,0.0238,在售,205.0,149.17,4.2,1558
2025-07-04,SKU_美_001,美妆热卖商品1,美妆,1403,3063,162,30,3837.3,0.0214,在售,157.0,127.91,4.4,4854
2025-07-04,SKU_美_002,美妆热卖商品2,美妆,2011,4362,439,45,8173.35,0.0224,在售,218.0,181.63,4.9,314
2025-07-04,SKU_美_003,美妆热卖商品3,美妆,800,2020,173,21,3938.97,0.0262,在售,221.0,187.57,4.2,866
2025-07-04,SKU_美_004,美妆热卖商品4,美妆,2332,6454,347,54,9426.24,0.0232,在售,208.0,174.56,4.6,2928
2025-07-04,SKU_美_005,美妆热卖商品5,美妆,2279,6053,442,36,4244.04,0.0158,在售,144.0,117.89,4.3,2585
2025-07-04,SKU_美_006,美妆热卖商品6,美妆,866,2399,100,21,2964.36,0.0242,在售,199.0,141.16,4.3,3779
2025-07-04,SKU_美_007,美妆热卖商品7,美妆,1173,2705,163,26,3046.94,0.0222,在售,180.0,117.19,4.8,1088
2025-07-04,SKU_美_008,美妆热卖商品8,美妆,2104,4863,220,49,8874.39,0.0233,在售,227.0,181.11,4.7,1713
2025-07-04,SKU_美_009,美妆热卖商品9,美妆,1035,2325,179,25,3580.25,0.0242,在售,214.0,143.21,4.8,2418
2025-07-04,SKU_美_010,美妆热卖商品10,美妆,1094,3050,225,25,3260.5,0.0229,在售,160.0,130.42,4.3,969
2025-07-04,SKU_服_001,服装热卖商品1,服装,1713,4157,258,39,7763.34,0.0228,在售,244.0,199.06,4.3,4990
2025-07-04,SKU_服_002,服装热卖商品2,服装,1603,3768,320,36,5943.96,0.0225,在售,225.0,165.11,4.5,270
2025-07-04,SKU_服_003,服装热卖商品3,服装,573,1313,124,17,2951.88,0.0297,在售,227.0,173.64,4.2,4031
2025-07-04,SKU_服_004,服装热卖商品4,服装,603,1459,129,15,2977.35,0.0249,在售,267.0,198.49,4.5,2826
2025-07-04,SKU_服_005,服装热卖商品5,服装,521,1257,108,13,1848.73,0.025,在售,208.0,142.21,4.7,2129
2025-07-04,SKU_服_006,服装热卖商品6,服装,549,1450,82,11,2177.01,0.02,在售,255.0,197.91,4.3,703
2025-07-04,SKU_服_007,服装热卖商品7,服装,1480,3605,232,38,6626.44,0.0257,在售,251.0,174.38,4.2,2976
2025-07-04,SKU_服_008,服装热卖商品8,服装,806,2208,100,23,3849.51,0.0285,在售,221.0,167.37,4.5,513
2025-07-04,SKU_服_009,服装热卖商品9,服装,1513,4165,279,49,10628.59,0.0324,在售,263.0,216.91,4.5,4790
2025-07-04,SKU_服_010,服装热卖商品10,服装,993,2451,166,25,4104.0,0.0252,在售,205.0,164.16,4.2,1558
2025-07-05,SKU_美_001,美妆热卖商品1,美妆,1235,2969,173,28,3123.12,0.0227,在售,157.0,111.54,4.4,4854
2025-07-05,SKU_美_002,美妆热卖商品2,美妆,1931,5034,254,40,6329.2,0.0207,在售,218.0,158.23,4.9,314
2025-07-05,SKU_美_003,美妆热卖商品3,美妆,907,1990,161,22,3388.44,0.0243,在售,221.0,154.02,4.2,866
2025-07-05,SKU_美_004,美妆热卖商品4,美妆,1461,3538,294,34,5069.74,0.0233,在售,208.0,149.11,4.6,2928
2025-07-05,SKU_美_005,美妆热卖商品5,美妆,2359,5417,509,45,4376.25,0.0191,在售,144.0,97.25,4.3,2585
2025-07-05,SKU_美_006,美妆热卖商品6,美妆,1329,3024,220,27,4165.56,0.0203,在售,199.0,154.28,4.3,3779
2025-07-05,SKU_美_007,美妆热卖商品7,美妆,943,2717,111,17,2166.82,0.018,在售,180.0,127.46,4.8,1088
2025-07-05,SKU_美_008,美妆热卖商品8,美妆,1681,4608,192,34,5865.34,0.0202,在售,227.0,172.51,4.7,1713
2025-07-05,SKU_美_009,美妆热卖商品9,美妆,1712,3774,228,40,6561.6,0.0234,在售,214.0,164.04,4.8,2418
2025-07-05,SKU_美_010,美妆热卖商品10,美妆,1273,3096,180,28,3004.4,0.022,在售,160.0,107.3,4.3,969
2025-07-05,SKU_服_001,服装热卖商品1,服装,995,1997,194,26,4389.32,0.0261,在售,244.0,168.82,4.3,4990
2025-07-05,SKU_服_002,服装热卖商品2,服装,1483,3587,206,30,4954.8,0.0202,在售,225.0,165.16,4.5,270
2025-07-05,SKU_服_003,服装热卖商品3,服装,694,1498,100,19,3407.84,0.0274,在售,227.0,179.36,4.2,4031
2025-07-05,SKU_服_004,服装热卖商品4,服装,817,2254,96,20,4296.0,0.0245,在售,267.0,214.8,4.5,2826
2025-07-05,SKU_服_005,服装热卖商品5,服装,1461,3603,275,27,3911.49,0.0185,在售,208.0,144.87,4.7,2129
2025-07-05,SKU_服_006,服装热卖商品6,服装,1938,5389,265,48,8613.12,0.0248,在售,255.0,179.44,4.3,703
2025-07-05,SKU_服_007,服装热卖商品7,服装,1898,4098,235,36,6783.12,0.019,在售,251.0,188.42,4.2,2976
2025-07-05,SKU_服_008,服装热卖商品8,服装,1214,2589,140,30,5116.8,0.0247,在售,221.0,170.56,4.5,513
2025-07-05,SKU_服_009,服装热卖商品9,服装,1356,3023,142,25,5446.75,0.0184,在售,263.0,217.87,4.5,4790
2025-07-05,SKU_服_010,服装热卖商品10,服装,1592,3576,240,33,4837.14,0.0207,在售,205.0,146.58,4.2,1558
2025-07-06,SKU_美_001,美妆热卖商品1,美妆,1941,5789,399,38,4351.76,0.0196,在售,157.0,114.52,4.4,4854
2025-07-06,SKU_美_002,美妆热卖商品2,美妆,1948,5319,384,36,5142.6,0.0185,在售,218.0,142.85,4.9,314
2025-07-06,SKU_美_003,美妆热卖商品3,美妆,1965,4952,267,48,7869.6,0.0244,在售,221.0,163.95,4.2,866
2025-07-06,SKU_美_004,美妆热卖商品4,美妆,2399,5212,461,40,6158.4,0.0167,在售,208.0,153.96,4.6,2928
2025-07-06,SKU_美_005,美妆热卖商品5,美妆,2187,6453,473,50,5266.5,0.0229,在售,144.0,105.33,4.3,2585
2025-07-06,SKU_美_006,美妆热卖商品6,美妆,2460,6690,284,60,9807.6,0.0244,在售,199.0,163.46,4.3,3779
2025-07-06,SKU_美_007,美妆热卖商品7,美妆,2239,5499,261,52,6425.64,0.0232,在售,180.0,123.57,4.8,1088
2025-07-06,SKU_美_008,美妆热卖商品8,美妆,1290,3389,238,22,4039.86,0.0171,在售,227.0,183.63,4.7,1713
2025-07-06,SKU_美_009,美妆热卖商品9,美妆,1515,4093,165,28,4300.24,0.0185,在售,214.0,153.58,4.8,2418
2025-07-06,SKU_美_010,美妆热卖商品10,美妆,1016,2482,159,21,2409.96,0.0207,在售,160.0,114.76,4.3,969
2025-07-06,SKU_服_001,服装热卖商品1,服装,1396,3832,226,31,6139.24,0.0222,在售,244.0,198.04,4.3,4990
2025-07-06,SKU_服_002,服装热卖商品2,服装,1718,4365,350,43,8027.67,0.025,在售,225.0,186.69,4.5,270
2025-07-06,SKU_服_003,服装热卖商品3,服装,914,2722,175,22,3414.18,0.0241,在售,227.0,155.19,4.2,4031
2025-07-06,SKU_服_004,服装热卖商品4,服装,484,1027,64,11,2075.92,0.0227,在售,267.0,188.72,4.5,2826
2025-07-06,SKU_服_005,服装热卖商品5,服装,1093,2206,155,23,3755.21,0.021,在售,208.0,163.27,4.7,2129
2025-07-06,SKU_服_006,服装热卖商品6,服装,1102,2952,160,25,4502.25,0.0227,在售,255.0,180.09,4.3,703
2025-07-06,SKU_服_007,服装热卖商品7,服装,1480,3282,253,36,7170.48,0.0243,在售,251.0,199.18,4.2,2976
2025-07-06,SKU_服_008,服装热卖商品8,服装,1119,2277,120,29,4357.54,0.0259,在售,221.0,150.26,4.5,513
2025-07-06,SKU_服_009,服装热卖商品9,服装,1473,4288,228,29,5223.19,0.0197,在售,263.0,180.11,4.5,4790
2025-07-06,SKU_服_010,服装热卖商品10,服装,1410,3064,256,26,3905.2,0.0184,在售,205.0,150.2,4.2,1558
2025-07-07,SKU_美_001,美妆热卖商品1,美妆,846,1854,86,16,1974.72,0.0189,在售,157.0,123.42,4.4,4854
2025-07-07,SKU_美_002,美妆热卖商品2,美妆,1568,4692,219,31,5641.38,0.0198,在售,218.0,181.98,4.9,314
2025-07-07,SKU_美_003,美妆热卖商品3,美妆,1113,2247,138,28,4916.8,0.0252,在售,221.0,175.6,4.2,866
2025-07-07,SKU_美_004,美妆热卖商品4,美妆,2143,5180,423,44,6988.08,0.0205,在售,208.0,158.82,4.6,2928
2025-07-07,SKU_美_005,美妆热卖商品5,美妆,1866,5594,311,32,3501.12,0.0171,在售,144.0,109.41,4.3,2585
2025-07-07,SKU_美_006,美妆热卖商品6,美妆,2351,5510,332,58,8763.8,0.0247,在售,199.0,151.1,4.3,3779
2025-07-07,SKU_美_007,美妆热卖商品7,美妆,1286,3436,256,28,3731.0,0.0218,在售,180.0,133.25,4.8,1088
2025-07-07,SKU_美_008,美妆热卖商品8,美妆,2196,5065,456,39,7229.43,0.0178,在售,227.0,185.37,4.7,1713
2025-07-07,SKU_美_009,美妆热卖商品9,美妆,1611,4765,288,25,3613.75,0.0155,在售,214.0,144.55,4.8,2418
2025-07-07,SKU_美_010,美妆热卖商品10,美妆,2077,5807,311,41,4533.37,0.0197,在售,160.0,110.57,4.3,969
2025-07-07,SKU_服_001,服装热卖商品1,服装,1238,3507,203,26,5016.18,0.021,在售,244.0,192.93,4.3,4990
2025-07-07,SKU_服_002,服装热卖商品2,服装,1579,4308,319,41,6120.48,0.026,在售,225.0,149.28,4.5,270
2025-07-07,SKU_服_003,服装热卖商品3,服装,1034,2079,174,23,3800.29,0.0222,在售,227.0,165.23,4.2,4031
2025-07-07,SKU_服_004,服装热卖商品4,服装,1371,2915,282,36,6501.24,0.0263,在售,267.0,180.59,4.5,2826
2025-07-07,SKU_服_005,服装热卖商品5,服装,1354,3255,284,36,5340.24,0.0266,在售,208.0,148.34,4.7,2129
2025-07-07,SKU_服_006,服装热卖商品6,服装,889,2179,180,24,4111.2,0.027,在售,255.0,171.3,4.3,703
2025-07-07,SKU_服_007,服装热卖商品7,服装,568,1221,105,15,3197.85,0.0264,在售,251.0,213.19,4.2,2976
2025-07-07,SKU_服_008,服装热卖商品8,服装,1309,3120,257,38,6151.44,0.029,在售,221.0,161.88,4.5,513
2025-07-07,SKU_服_009,服装热卖商品9,服装,1193,3224,131,28,5888.12,0.0235,在售,263.0,210.29,4.5,4790
2025-07-07,SKU_服_010,服装热卖商品10,服装,682,1565,144,17,2619.7,0.0249,在售,205.0,154.1,4.2,1558
2025-07-08,SKU_美_001,美妆热卖商品1,美妆,1105,2654,225,25,2926.25,0.0226,在售,157.0,117.05,4.4,4854
2025-07-08,SKU_美_002,美妆热卖商品2,美妆,2040,4811,220,39,7217.73,0.0191,在售,218.0,185.07,4.9,314
2025-07-08,SKU_美_003,美妆热卖商品3,美妆,690,2030,81,12,1927.68,0.0174,在售,221.0,160.64,4.2,866
2025-07-08,SKU_美_004,美妆热卖商品4,美妆,1583,4658,342,30,5165.7,0.019,在售,208.0,172.19,4.6,2928
2025-07-08,SKU_美_005,美妆热卖商品5,美妆,2006,4838,264,49,5398.82,0.0244,在售,144.0,110.18,4.3,2585
2025-07-08,SKU_美_006,美妆热卖商品6,美妆,1104,2557,128,27,4163.13,0.0245,在售,199.0,154.19,4.3,3779
2025-07-08,SKU_美_007,美妆热卖商品7,美妆,1131,3328,134,25,3213.5,0.0221,在售,180.0,128.54,4.8,1088
2025-07-08,SKU_美_008,美妆热卖商品8,美妆,891,2504,137,20,3797.8,0.0224,在售,227.0,189.89,4.7,1713
2025-07-08,SKU_美_009,美妆热卖商品9,美妆,1832,5323,251,41,6689.97,0.0224,在售,214.0,163.17,4.8,2418
2025-07-08,SKU_美_010,美妆热卖商品10,美妆,2156,4889,243,50,6231.0,0.0232,在售,160.0,124.62,4.3,969
2025-07-08,SKU_服_001,服装热卖商品1,服装,1510,4512,178,30,5011.5,0.0199,在售,244.0,167.05,4.3,4990
2025-07-08,SKU_服_002,服装热卖商品2,服装,1258,3377,251,34,5080.62,0.027,在售,225.0,149.43,4.5,270
2025-07-08,SKU_服_003,服装热卖商品3,服装,1396,3973,232,39,6706.05,0.0279,在售,227.0,171.95,4.2,4031
2025-07-08,SKU_服_004,服装热卖商品4,服装,772,1788,137,17,3013.08,0.022,在售,267.0,177.24,4.5,2826
2025-07-08,SKU_服_005,服装热卖商品5,服装,475,1284,55,12,1802.64,0.0253,在售,208.0,150.22,4.7,2129
2025-07-08,SKU_服_006,服装热卖商品6,服装,536,1269,103,8,1711.68,0.0149,在售,255.0,213.96,4.3,703
2025-07-08,SKU_服_007,服装热卖商品7,服装,1720,4102,335,50,9389.0,0.0291,在售,251.0,187.78,4.2,2976
2025-07-08,SKU_服_008,服装热卖商品8,服装,1062,2164,232,24,4134.48,0.0226,在售,221.0,172.27,4.5,513
2025-07-08,SKU_服_009,服装热卖商品9,服装,1629,3917,239,36,6924.6,0.0221,在售,263.0,192.35,4.5,4790
2025-07-08,SKU_服_010,服装热卖商品10,服装,801,2233,158,19,3296.12,0.0237,在售,205.0,173.48,4.2,1558
2025-07-09,SKU_美_001,美妆热卖商品1,美妆,2211,4462,252,39,4710.81,0.0176,在售,157.0,120.79,4.4,4854
2025-07-09,SKU_美_002,美妆热卖商品2,美妆,1092,2425,183,20,3569.0,0.0183,在售,218.0,178.45,4.9,314
2025-07-09,SKU_美_003,美妆热卖商品3,美妆,1651,4776,219,33,4799.85,0.02,在售,221.0,145.45,4.2,866
2025-07-09,SKU_美_004,美妆热卖商品4,美妆,1242,2701,251,23,3549.13,0.0185,在售,208.0,154.31,4.6,2928
2025-07-09,SKU_美_005,美妆热卖商品5,美妆,681,1863,112,15,1483.8,0.022,在售,144.0,98.92,4.3,2585
2025-07-09,SKU_美_006,美妆热卖商品6,美妆,2308,4970,353,59,9257.1,0.0256,在售,199.0,156.9,4.3,3779
2025-07-09,SKU_美_007,美妆热卖商品7,美妆,637,1386,104,14,2088.1,0.022,在售,180.0,149.15,4.8,1088
2025-07-09,SKU_美_008,美妆热卖商品8,美妆,1244,2577,239,23,3602.49,0.0185,在售,227.0,156.63,4.7,1713
2025-07-09,SKU_美_009,美妆热卖商品9,美妆,753,2022,150,12,2067.36,0.0159,在售,214.0,172.28,4.8,2418
2025-07-09,SKU_美_010,美妆热卖商品10,美妆,1600,4528,342,44,5589.76,0.0275,在售,160.0,127.04,4.3,969
2025-07-09,SKU_服_001,服装热卖商品1,服装,1010,2859,164,24,4380.96,0.0238,在售,244.0,182.54,4.3,4990
2025-07-09,SKU_服_002,服装热卖商品2,服装,473,1341,66,10,1852.4,0.0211,在售,225.0,185.24,4.5,270
2025-07-09,SKU_服_003,服装热卖商品3,服装,1454,3831,217,38,7236.34,0.0261,在售,227.0,190.43,4.2,4031
2025-07-09,SKU_服_004,服装热卖商品4,服装,1257,2640,229,36,6691.32,0.0286,在售,267.0,185.87,4.5,2826
2025-07-09,SKU_服_005,服装热卖商品5,服装,1509,3486,215,37,5259.92,0.0245,在售,208.0,142.16,4.7,2129
2025-07-09,SKU_服_006,服装热卖商品6,服装,564,1570,64,14,2522.38,0.0248,在售,255.0,180.17,4.3,703
2025-07-09,SKU_服_007,服装热卖商品7,服装,1708,3757,219,36,6937.56,0.0211,在售,251.0,192.71,4.2,2976
2025-07-09,SKU_服_008,服装热卖商品8,服装,446,1096,48,12,1840.08,0.0269,在售,221.0,153.34,4.5,513
2025-07-09,SKU_服_009,服装热卖商品9,服装,1051,2684,141,23,4203.02,0.0219,在售,263.0,182.74,4.5,4790
2025-07-09,SKU_服_010,服装热卖商品10,服装,884,2473,131,23,3734.28,0.026,在售,205.0,162.36,4.2,1558
2025-07-10,SKU_美_001,美妆热卖商品1,美妆,2445,5505,278,47,5388.08,0.0192,在售,157.0,114.64,4.4,4854
2025-07-10,SKU_美_002,美妆热卖商品2,美妆,2085,5720,258,39,6295.38,0.0187,在售,218.0,161.42,4.9,314
2025-07-10,SKU_美_003,美妆热卖商品3,美妆,1606,3806,270,30,4494.6,0.0187,在售,221.0,149.82,4.2,866
2025-07-10,SKU_美_004,美妆热卖商品4,美妆,1994,5571,232,40,6650.8,0.0201,在售,208.0,166.27,4.6,2928
2025-07-10,SKU_美_005,美妆热卖商品5,美妆,2101,5939,264,46,5613.84,0.0219,在售,144.0,122.04,4.3,2585
2025-07-10,SKU_美_006,美妆热卖商品6,美妆,1611,4030,319,36,5613.12,0.0223,在售,199.0,155.92,4.3,3779
2025-07-10,SKU_美_007,美妆热卖商品7,美妆,1454,4340,154,32,4458.88,0.022,在售,180.0,139.34,4.8,1088
2025-07-10,SKU_美_008,美妆热卖商品8,美妆,2268,5111,340,37,6041.36,0.0163,在售,227.0,163.28,4.7,1713
2025-07-10,SKU_美_009,美妆热卖商品9,美妆,883,2202,115,21,3376.59,0.0238,在售,214.0,160.79,4.8,2418
2025-07-10,SKU_美_010,美妆热卖商品10,美妆,1005,2832,104,22,2802.58,0.0219,在售,160.0,127.39,4.3,969
2025-07-10,SKU_服_001,服装热卖商品1,服装,1608,3347,271,28,5533.36,0.0174,在售,244.0,197.62,4.3,4990
2025-07-10,SKU_服_002,服装热卖商品2,服装,609,1808,96,13,2322.71,0.0213,在售,225.0,178.67,4.5,270
2025-07-10,SKU_服_003,服装热卖商品3,服装,965,2283,200,18,3358.08,0.0187,在售,227.0,186.56,4.2,4031
2025-07-10,SKU_服_004,服装热卖商品4,服装,628,1305,85,15,2631.0,0.0239,在售,267.0,175.4,4.5,2826
2025-07-10,SKU_服_005,服装热卖商品5,服装,1679,3450,259,30,4388.4,0.0179,在售,208.0,146.28,4.7,2129
2025-07-10,SKU_服_006,服装热卖商品6,服装,1856,4552,332,46,8790.6,0.0248,在售,255.0,191.1,4.3,703
2025-07-10,SKU_服_007,服装热卖商品7,服装,524,1097,114,12,2324.4,0.0229,在售,251.0,193.7,4.2,2976
2025-07-10,SKU_服_008,服装热卖商品8,服装,1361,3372,245,40,6530.0,0.0294,在售,221.0,163.25,4.5,513
2025-07-10,SKU_服_009,服装热卖商品9,服装,1203,2438,198,32,5801.6,0.0266,在售,263.0,181.3,4.5,4790
2025-07-10,SKU_服_010,服装热卖商品10,服装,1231,2942,194,28,4348.96,0.0227,在售,205.0,155.32,4.2,1558
2025-07-11,SKU_美_001,美妆热卖商品1,美妆,739,1715,117,18,2257.92,0.0244,在售,157.0,125.44,4.4,4854
2025-07-11,SKU_美_002,美妆热卖商品2,美妆,1870,4588,351,44,7478.68,0.0235,在售,218.0,169.97,4.9,314
2025-07-11,SKU_美_003,美妆热卖商品3,美妆,1215,3159,180,26,4367.74,0.0214,在售,221.0,167.99,4.2,866
2025-07-11,SKU_美_004,美妆热卖商品4,美妆,2078,5373,263,46,7497.08,0.0221,在售,208.0,162.98,4.6,2928
2025-07-11,SKU_美_005,美妆热卖商品5,美妆,2404,5459,319,56,6314.0,0.0233,在售,144.0,112.75,4.3,2585
2025-07-11,SKU_美_006,美妆热卖商品6,美妆,1225,3393,186,32,4713.6,0.0261,在售,199.0,147.3,4.3,3779
2025-07-11,SKU_美_007,美妆热卖商品7,美妆,684,1672,93,16,2057.92,0.0234,在售,180.0,128.62,4.8,1088
2025-07-11,SKU_美_008,美妆热卖商品8,美妆,986,2328,193,23,4320.55,0.0233,在售,227.0,187.85,4.7,1713
2025-07-11,SKU_美_009,美妆热卖商品9,美妆,749,2168,135,20,2818.6,0.0267,在售,214.0,140.93,4.8,2418
2025-07-11,SKU_美_010,美妆热卖商品10,美妆,2232,5850,310,33,3787.74,0.0148,在售,160.0,114.78,4.3,969
2025-07-11,SKU_服_001,服装热卖商品1,服装,1498,4210,302,41,8303.73,0.0274,在售,244.0,202.53,4.3,4990
